かす	0	1
べる	2	7
かねる	4	2
させる	6	11
てる	8	2
づらい	10	3
すぎる	12	6
あう	14	2
尽くす	16	1
出来る	18	18
うる	20	2
できる	22	130
ね	24	1
こむ	26	2
済み	28	1
くださる	30	1
回る	32	3
だす	34	2
ける	36	32
込む	38	12
かも知れる	40	1
良い	42	2
げる	44	1
まい	46	1
する	48	4089
よう	50	1
直す	52	7
がたい	54	3
ざるをえる	56	3
なければ	58	9
合う	60	12
はじめる	62	1
きる	64	6
ざるを得る	66	4
らるる	68	1
やすい	70	25
なら	72	6
難い	74	1
せる	76	178
得る	78	3
易い	80	2
づめる	82	1
だめ	84	1
える	86	31
かける	88	8
める	90	22
いける	92	1
らす	94	4
れる	96	1605
続ける	98	24
られる	100	301
始める	102	21
にくい	104	9
がちだ	106	3
かもしれる	108	9
ある	110	2
たい	112	85
過ぎる	114	3
べし	116	36
切る	118	5
出す	120	17
ちゃう	122	11
ます	124	668
たー	126	1
なさる	128	4
みたいだ	130	3
ない	132	630
でした	134	15
ようだ	136	170
だ	138	49
なる	140	102
た	142	3393
たら	144	35
う	146	92
らしい	148	9
そうだ	150	22
つづける	152	1
て	154	3822
