1	0	3
5	2	11
2a	4	49
sm	6	34568	#subject agreement
10	8	16
sr	10	738	# subject relative (SBJ.REL)
6	12	7
m^	14	5
9	16	19
av	18	11
9a	20	1
a.	22	32
cp	24	36	# copula
17	26	32
2	28	10
st	30	1
lc	32	3
wa	34	1
2s	36	1
fi	38	1
ng	40	482	# NEG, e.g. ha
t^	42	16020	# tense etc.
rl	44	102	# REL.LOC, e.g. ng
if	46	1018	# COND, e.g. ho
rf	48	768	# reflexive
wo	50	16
ij	52	4
8	54	1
lo	56	5
14	58	1
..	60	1
ei	62	1
1s	64	3
di	66	8
ps	68	1
f^	70	1
pr	72	3
3	74	2
wh	76	110	# e.g. feng
om	78	7985	# object agreement
ap	80	1
cj	82	1
pn	84	1
ht	86	3
7	88	5
