Language Script ModelID Model AUC
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 1759008 RANDOM 15.571806775206541
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 1864512 SHUFFLE 15.94124560982433
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 1953404 RANDOM 15.291621929586144
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 2301195 SHUFFLE 15.532222338131419
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 2624064 SHUFFLE 16.006004185629926
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 2778652 SHUFFLE 15.998779512352122
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 3033677 RANDOM 15.302829633402645
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 3883002 SHUFFLE 15.49881422302862
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 4030704 SHUFFLE 15.998961488873201
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 4175710 RANDOM 15.57677860751673
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 521138 RANDOM 15.609154827141502
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 5393273 SHUFFLE 15.967808927351628
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 5504799 RANDOM 15.631111915177044
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 5556200 SHUFFLE 15.046069538235514
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 6105015 REAL 15.039348694871762
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 8717630 SHUFFLE 15.528297613882712
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 8814324 RANDOM 15.922379782797186
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 9014240 RANDOM 15.828067317120365
Japanese_2.4 forWords_Celex_RandomOrder_FormsWords.py_model 9451805 SHUFFLE 15.515544628870266
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 1617279 REAL 11.63242171619376
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 1624930 SHUFFLE 12.12923392690707
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 16656 RANDOM 11.900822800385482
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 1807089 RANDOM 12.46050904862913
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 1994537 RANDOM 12.011228571044581
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 2071011 SHUFFLE 12.726701363072765
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 2995226 RANDOM 11.989780145827593
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 3529531 SHUFFLE 12.129413056381694
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 355812 SHUFFLE 12.694182477343265
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 358951 RANDOM 12.608775486012298
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 4426409 SHUFFLE 12.730564242652779
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 4794987 RANDOM 12.245413075032975
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 4827592 RANDOM 11.935497340554917
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 6312987 RANDOM 11.811093895263227
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 6590963 RANDOM 12.349754996525775
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 6850693 SHUFFLE 12.717380551965954
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 6999642 SHUFFLE 12.181341817137914
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 8376922 SHUFFLE 12.219473499980175
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 8656249 SHUFFLE 12.18127051133806
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 9124864 SHUFFLE 12.160290890911433
Japanese_2.4 forWords_Celex_RandomOrder_FormsWordsGraphemes.py_model 9196075 RANDOM 12.636831139243233
