Language Script ModelID Model Distance It Surprisal Memory
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 0 0.0 4.765602251758302 0
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 1 2.5935887345609 2.1720135171974015 2.5935887345609
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 2 0.2562585275472977 1.9157549896501038 3.1061057896554956
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 3 0.08333954982450065 1.8324154398256032 3.3561244391289975
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 4 0.0011743273217224015 1.8312411125038808 3.360821748415887
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 5 0.0 1.8312411125038808 3.360821748415887
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1524758 SHUFFLE 6 0.0 1.8312411125038808 3.360821748415887
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 0 0.0 4.765602251758302 0
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 1 2.6502298032541356 2.115372448504166 2.6502298032541356
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 2 0.23577567569367552 1.8795967728104905 3.1217811546414866
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 3 0.04639001506046969 1.8332067577500208 3.2609511998228955
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 4 0.0019302190050849433 1.831276538744936 3.2686720758432353
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 5 0.0 1.831276538744936 3.2686720758432353
Japanese_2.4 forWords_Celex_RandomOrder.py_model 1854932 SHUFFLE 6 0.0 1.831276538744936 3.2686720758432353
Japanese_2.4 forWords_Celex_RandomOrder.py_model 2423289 SHUFFLE 0 0.0 4.765602251758302 0
Japanese_2.4 forWords_Celex_RandomOrder.py_model 2423289 SHUFFLE 1 2.6399931014821876 2.125609150276114 2.6399931014821876
Japanese_2.4 forWords_Celex_RandomOrder.py_model 2423289 SHUFFLE 2 0.249895203391314 1.8757139468848 3.1397835082648156
Japanese_2.4 forWords_Celex_RandomOrder.py_model 2423289 SHUFFLE 3 0.04285372142504462 1.8328602254597555 3.2683446725399494
