できる	0	45	# be able to
まい	2	1
べる	4	2
する	6	825	# suru
ちゃう	8	4
れる	10	366	# passive
始める	12	10	# begin
させる	14	2
かもしれる	16	2
ざるを得る	18	1
かける	20	1
てる	22	1
出来る	24	6
きる	26	1
める	28	10	# 
ける	30	7
出す	32	2
られる	34	97	# passive
たい	36	12
済み	38	1
ざるをえる	40	1	# ?
かねる	42	2
あう	44	1
くださる	46	1
続ける	48	3
易い	50	1
がたい	52	1
える	54	13
やすい	56	5
せる	58	24	# causative
にくい	60	1
ようだ	62	40	# "as if"
ます	64	560	# politeness (inflection)
う	66	11
ない	68	180	# negation (inflection)
でした	70	15
たー	72	1
だめ	74	1
なる	76	43
た	78	1425	# past (inflection)
みたいだ	80	1
だ	82	1
そうだ	84	12
らしい	86	4
