sm17	0	882
sm14	2	12
t^ke	4	16
sm1	6	3968
sms	8	1
t^mpa	10	14
sr6	12	11
sm2	14	580
sm2p/t^np	16	15
t^p.pour.water.in.pot	18	1
10	20	16
sm8	22	48
sr2	24	50
7	26	5
5	28	11
sm7	30	163
sr9	32	186
sm3	34	179
sr3	36	15
sr5	38	12
9	40	19
sm1p/t^np	42	16
sm9/t^np	44	48
2a	46	49
a.name	48	31
sr10	50	54
sm1/t^np	52	121
sm1s/t^np	54	152
9aj	56	1
t^mpe	58	2
sm6	60	143
av	62	11
sm9	64	2426
sm2p	66	951
sm1s	68	11822
t^po/ng	70	30
rf.t^p	72	1
sm1/t^p	74	1
sm2s/t^np	76	88
t^se	78	426
t^pp	80	691
sm10/t^np	82	3
sr1	84	366
sm5/t^np	86	4
t^tloha	88	7
t^np.om1s	90	1
14	92	1
1	94	3
sm2s	96	10991
pr	98	3
t^hla	100	10
t^ps	102	212
sr1s	104	1
t^nne	106	3
want	108	1
t^f	110	2
loc	112	5
t^pf	114	8
t^p.om7	116	61
t^ts	118	28
t^ne	120	957
t^p.rf	122	11
sm1p	124	1414
t^p.om8	126	34
t^p.om5	128	82
t^p.om6	130	54
t^p.om2	132	22
t^f5	134	17
t^p.om2a	136	1
t^batla	138	7
t^batla/pf	140	6
t^p.om9	142	379
f^f1	144	1
sm10	146	355
t^ny	148	87
cp	150	34
t^po	152	228
t^p.om2p	154	33
..if	156	1
sr2p	158	3
t^f3	160	9
cp9	162	1
cj	164	1
ps	166	1
t^p.om14	168	7
t^.om2s	170	1
a.place	172	1
t^be/pf	174	7
sr4	176	3
t^hla/pf	178	2
sm3/t^np	180	2
sr1p	182	3
t^22	184	2
cp6	186	1
t^po/t^pf	188	2
t^ng	190	1
t^p.om1p	192	36
t^p.om3	194	26
6	196	7
pn1s	198	1
t^hle	200	1
fill.belly/t^pf	202	1
ij	204	4
sm5	206	180
t^sa	208	221
t^f2	210	993
t^f1	212	3573
ng	214	482
t^p	216	5701
t^p.om1s	218	228
t^f4	220	671
word	222	16
t^be	224	192
t^ba	226	52
rl	228	102
if	230	1018
om3	232	132
om2	234	52
om6	236	169
om7	238	186
om14	240	45
rf	242	767
2	244	10
1s	246	3
m^in	248	4
ap	250	1
t^po/pf	252	1
eight	254	1
sr14	256	2
t^ppf	258	2
om1p	260	132
stone	262	1
t^p.om17	264	4
om17	266	3
t^ntsane	268	4
3	270	2
sm17/t^np	272	2
17	274	32
wh	276	110
om1	278	1198
t^p.om2s	280	410
t^p.om1	282	331
lc	284	3
sr2s	286	4
om2p	288	83
t^tena	290	1
t^p.om10	292	104
m^s	294	1
8	296	1
sr8	298	6
sr17	300	6
2s	302	1
om2a	304	1
om5	306	346
ht	308	3
t^nna	310	4
t^hlola	312	4
sr7	314	16
sm2/t^np	316	1
om9	318	2395
om1s	320	1032
om8	322	101
om10	324	415
om2s	326	1695
dim	328	8
