999 36.21993308634826
36.21914348315941 36.21937833239507 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21965442600665 36.21993308634826 36.21993308634826 36.21993308634826 36.21993308634826 36.21993308634826 36.21993308634826 36.21993308634826 36.21993308634826
Namespace(alpha=0.0, cutoff=12, delta=1.0, gamma=1, idForProcess=6457475, language='Sesotho_Acqdiv', model=None)
m. 0
rc 2
ps 4
p/ 6
rv 8
c 10
nt 12
ap 14
cl 16
c/ 18
p 20
cp 22
t^ 24
m^ 26
mi 28
wh 30
lc 32
rl 34
