Model	Language	Code	Type	Distance	ConditionalMI	TotalMI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	1	0.997396899589	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	2	0.48469027554	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	3	0.325828490849	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	4	0.219193114436	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	5	0.159629463433	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	6	0.111620289047	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	7	0.092154835359	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	8	0.0745602661078	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	9	0.0597113032664	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	10	0.0449560920742	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	11	0.0392257822045	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	12	0.031868741734	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	13	0.0273316388005	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	14	0.0193463683315	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	15	0.0167934724493	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	16	0.0149426236558	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	17	0.0134772880319	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	18	0.0120925205419	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	19	0.0107794747812	1.50108572913
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	1	1.09876772777	1.56487413169
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py	Russian	Russian	RANDOM_BY_TYPE	2	0.488894457383	1.56487413169
