づめる	0	1
づらい	2	3
げる	4	1
らす	6	4
つづける	8	1
済み	10	1
ね	12	1
かける	14	8
良い	16	2
うる	18	2
てる	20	2
切る	22	5
出す	24	17
尽くす	26	1
べる	28	7
する	30	4089
はじめる	32	1
ざるを得る	34	4
やすい	36	25
合う	38	12
らるる	40	1
かす	42	1
こむ	44	2
回る	46	3
くださる	48	1
込む	50	12
める	52	22
かねる	54	2
できる	56	130
あう	58	2
出来る	60	18
よう	62	1
がたい	64	3
みたいだ	66	3
きる	68	6
なければ	70	9
いける	72	1
難い	74	1
なさる	76	4
CAUSATIVE	78	189
直す	80	7
だす	82	2
だめ	84	1
すぎる	86	6
ざるをえる	88	3
なら	90	6
かも知れる	92	1
まい	94	1
PASSIVE_POTENTIAL	96	1972
がちだ	98	3
にくい	100	9
たい	102	85
続ける	104	24
かもしれる	106	9
べし	108	36
始める	110	21
ちゃう	112	11
ます	114	668
ない	116	630
ようだ	118	170
易い	120	2
だ	122	49
たー	124	1
う	126	92
でした	128	15
ある	130	2
なる	132	102
た	134	3393
そうだ	136	22
過ぎる	138	3
て	140	3822
らしい	142	9
たら	144	35
