Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Russian	REAL_REAL	0	0.00855	0.00855	0.00855	0.00855	0.96875
Russian	REAL_REAL	1	0.01711	0.01711	0.01711	0.01711	0.96875
Russian	REAL_REAL	2	0.02566	0.02566	0.02566	0.02566	0.96875
Russian	REAL_REAL	3	0.03421	0.03421	0.03421	0.03421	0.96875
Russian	REAL_REAL	4	0.04277	0.04277	0.04277	0.04277	0.96875
Russian	REAL_REAL	5	0.05132	0.05132	0.05132	0.05132	0.96875
Russian	REAL_REAL	6	0.05987	0.05987	0.05987	0.05987	0.96875
Russian	REAL_REAL	7	0.06843	0.06843	0.06843	0.06843	0.96875
Russian	REAL_REAL	8	0.07698	0.07698	0.07698	0.07698	0.96875
Russian	REAL_REAL	9	0.08553	0.08553	0.08553	0.08553	0.96875
Russian	REAL_REAL	10	0.09409	0.09409	0.09409	0.09409	0.96875
Russian	REAL_REAL	11	0.10264	0.10264	0.10264	0.10264	0.96875
Russian	REAL_REAL	12	0.1112	0.1112	0.1112	0.1112	0.96875
Russian	REAL_REAL	13	0.11975	0.11975	0.11975	0.11975	0.96875
Russian	REAL_REAL	14	0.1283	0.1283	0.1283	0.1283	0.96875
Russian	REAL_REAL	15	0.13686	0.13686	0.13686	0.13686	0.96875
Russian	REAL_REAL	16	0.14541	0.14541	0.14541	0.14541	0.96875
Russian	REAL_REAL	17	0.15396	0.15396	0.15396	0.15396	0.96875
Russian	REAL_REAL	18	0.16252	0.16252	0.16252	0.16252	0.96875
Russian	REAL_REAL	19	0.17107	0.17107	0.17107	0.17107	0.96875
Russian	REAL_REAL	20	0.17962	0.17962	0.17962	0.17962	0.96875
Russian	REAL_REAL	21	0.18818	0.18818	0.18818	0.18818	0.96875
Russian	REAL_REAL	22	0.19673	0.19673	0.19673	0.19673	0.96875
Russian	REAL_REAL	23	0.20528	0.20528	0.20528	0.20528	0.96875
Russian	REAL_REAL	24	0.21384	0.21384	0.21384	0.21384	0.96875
Russian	REAL_REAL	25	0.22239	0.22239	0.22239	0.22239	0.96875
Russian	REAL_REAL	26	0.23094	0.23094	0.23094	0.23094	0.96875
Russian	REAL_REAL	27	0.2395	0.2395	0.2395	0.2395	0.96875
Russian	REAL_REAL	28	0.24805	0.24805	0.24805	0.24805	0.96875
Russian	REAL_REAL	29	0.2566	0.2566	0.25482	0.2566	0.96875
Russian	REAL_REAL	30	0.26516	0.26441	0.2591	0.26516	0.96875
Russian	REAL_REAL	31	0.27371	0.26869	0.26337	0.27371	0.96875
Russian	REAL_REAL	32	0.28227	0.27296	0.26765	0.28227	0.96875
Russian	REAL_REAL	33	0.29082	0.27724	0.27103	0.28868	0.96875
Russian	REAL_REAL	34	0.29937	0.28152	0.27367	0.29295	0.96875
Russian	REAL_REAL	35	0.30793	0.28579	0.27549	0.29723	0.96875
Russian	REAL_REAL	36	0.31648	0.28864	0.27687	0.30043	0.96875
Russian	REAL_REAL	37	0.32503	0.28999	0.27777	0.30271	0.96875
Russian	REAL_REAL	38	0.33359	0.29008	0.27807	0.30401	0.96875
Russian	RANDOM_BY_TYPE	0	0.00855	0.00855	0.00855	0.00855	0.99902
Russian	RANDOM_BY_TYPE	1	0.01711	0.01711	0.01711	0.01711	0.99902
Russian	RANDOM_BY_TYPE	2	0.02566	0.02566	0.02566	0.02566	0.98828
Russian	RANDOM_BY_TYPE	3	0.03421	0.03421	0.03421	0.03421	0.99902
Russian	RANDOM_BY_TYPE	4	0.04277	0.04277	0.04277	0.04277	0.99902
Russian	RANDOM_BY_TYPE	5	0.05132	0.05132	0.05132	0.05132	0.98828
Russian	RANDOM_BY_TYPE	6	0.05987	0.05987	0.05987	0.05987	0.99902
Russian	RANDOM_BY_TYPE	7	0.06843	0.06843	0.06843	0.06843	0.99902
Russian	RANDOM_BY_TYPE	8	0.07698	0.07698	0.07698	0.07698	0.99902
Russian	RANDOM_BY_TYPE	9	0.08553	0.08553	0.08553	0.08553	0.99902
Russian	RANDOM_BY_TYPE	10	0.09409	0.09409	0.09409	0.09409	0.98828
Russian	RANDOM_BY_TYPE	11	0.10264	0.10264	0.10264	0.10264	0.98828
Russian	RANDOM_BY_TYPE	12	0.1112	0.1112	0.1112	0.1112	0.99902
Russian	RANDOM_BY_TYPE	13	0.11975	0.11975	0.11975	0.11975	0.99902
Russian	RANDOM_BY_TYPE	14	0.1283	0.1283	0.1283	0.1283	0.99902
Russian	RANDOM_BY_TYPE	15	0.13686	0.13686	0.13686	0.13686	0.99902
Russian	RANDOM_BY_TYPE	16	0.14541	0.14541	0.14541	0.14541	0.99902
Russian	RANDOM_BY_TYPE	17	0.15396	0.15396	0.15396	0.15396	0.99902
Russian	RANDOM_BY_TYPE	18	0.16252	0.16252	0.16252	0.16252	0.99902
Russian	RANDOM_BY_TYPE	19	0.17107	0.17107	0.17107	0.17107	0.98828
Russian	RANDOM_BY_TYPE	20	0.17962	0.17962	0.17829	0.17962	0.98828
