Script	Model
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	1030360
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	1157511
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	1377071
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	162398
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	2040084
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	4818830
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	4888523
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	6592130
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	7138523
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	9428334
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	1262353
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	1302955
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	1684441
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	265074
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	2763342
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	3308500
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	5506166
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	6504017
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	8279165
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	9049188
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	1509445
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	1740723
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	3779880
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4791314
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4872166
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	581408
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	6339107
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	7669547
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	9063581
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	9763692
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	1300283
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	2135709
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	2283853
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	4219365
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	4819154
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	5148385
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	5241972
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	5336746
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	6032779
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_HeldoutClip.py	6872788
