Script	Run	Model	Distance	Surprisal	MI	Memory	UnigramCE	Type
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1698040	RANDOM	8	1.3228667836354178	0	3.203439648990389	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1698040	RANDOM	9	1.3228667836354178	0	3.203439648990389	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1698040	RANDOM	10	1.3228667836354178	0	3.203439648990389	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1698040	RANDOM	11	1.3228667836354178	0	3.203439648990389	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	0	3.53990565512539	1.6094400124522223	0	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	1	1.9304656426731677	0.31692729378979423	1.6094400124522223	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	2	1.6135383488833734	0.2186791238363026	2.2432946000318106	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	3	1.3948592250470708	0.09108463947531065	2.899331971540718	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	4	1.3037745855717602	0.0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	5	1.3037745855717602	0.0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	6	1.3037745855717602	0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	7	1.3037745855717602	0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	8	1.3037745855717602	0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	9	1.3037745855717602	0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	10	1.3037745855717602	0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	1975323	RANDOM	11	1.3037745855717602	0	3.263670529441961	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	0	3.53990565512539	1.6034480786889587	0	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	1	1.9364575764364313	0.29081406185578107	1.6034480786889587	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	2	1.6456435145806503	0.23002438328885955	2.185076202400521	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	3	1.4156191312917907	0.08964641112622296	2.8751493522670994	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	4	1.3259727201655678	0.0040398802564123315	3.2337349967719913	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	5	1.3219328399091554	0.0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	6	1.3219328399091554	0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	7	1.3219328399091554	0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	8	1.3219328399091554	0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	9	1.3219328399091554	0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	10	1.3219328399091554	0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2109328	RANDOM	11	1.3219328399091554	0	3.253934398054053	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	0	3.53990565512539	1.6389296551125865	0	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	1	1.9009760000128035	0.3484229806166994	1.6389296551125865	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	2	1.5525530193961041	0.19266189002434042	2.3357756163459853	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	3	1.3598911293717637	0.07572875864827822	2.913761286419007	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	4	1.2841623707234855	0.0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	5	1.2841623707234855	0.0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	6	1.2841623707234855	0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	7	1.2841623707234855	0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	8	1.2841623707234855	0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	9	1.2841623707234855	0	3.2166763210121196	3.53990565512539	RANDOM
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_Heldout.py	2456100	RANDOM	10	1.2841623707234855	0	3.2166763210121196	3.53990565512539	RANDOM
