Type	Memory	Residual	ModelID	TotalMI
REAL_REAL	1.4703316639	5.78432655099	8039464	1.36083205635
REAL_REAL	1.47124070642	5.78402340045	3546135	1.36113520689
REAL_REAL	1.47027778203	5.7843156874	2663768	1.36084291994
REAL_REAL	1.47062618339	5.78419769793	5576599	1.36096090941
REAL_REAL	1.47006831637	5.78438954124	9679008	1.3607690661
RANDOM_BY_TYPE	1.07339775595	6.20656673649	7946527	0.93859187085
RANDOM_BY_TYPE	1.17240953709	6.06949460081	5169331	1.07566400653
RANDOM_BY_TYPE	1.05531595836	6.14489143763	5143640	1.00026716971
RANDOM_BY_TYPE	1.02042543221	6.20216337321	568306	0.94299523413
RANDOM_BY_TYPE	0.97638991627	6.23830578837	6669341	0.90685281897
RANDOM_BY_TYPE	1.05406533452	6.15910596455	9816140	0.98605264279
RANDOM_BY_TYPE	1.10233969278	6.17925475094	6506167	0.9659038564
RANDOM_BY_TYPE	1.00638133022	6.24952523796	5302122	0.89563336938
RANDOM_BY_TYPE	0.994615128	6.21891131614	6436422	0.9262472912
RANDOM_BY_TYPE	1.25460600495	5.99003274281	3527527	1.15512586453
RANDOM_BY_TYPE	1.12862750983	6.15810471917	7031638	0.98705388817
RANDOM_BY_TYPE	1.0090449628	6.17160306536	7692504	0.97355554198
RANDOM_BY_TYPE	1.18056468793	6.06982820732	3497953	1.07533040002
RANDOM_BY_TYPE	0.95482225006	6.26079838333	5245089	0.88436022401
RANDOM_BY_TYPE	1.21593855383	6.01299947721	3126904	1.13215913013
RANDOM_BY_TYPE	1.07311208492	6.14096296502	2089626	1.00419564232
RANDOM_BY_TYPE	1.14054535874	6.14403678044	6410395	1.0011218269
RANDOM_BY_TYPE	1.04963166431	6.16982397984	8235747	0.9753346275
RANDOM_BY_TYPE	1.15208689388	6.11587169199	7465973	1.02928691535
RANDOM_BY_TYPE	1.19411090213	6.06684646589	4173140	1.07831214145
GROUND	1.39111001718	5.85073122626	4954170	1.29442738108
GROUND	1.39214538823	5.85021956462	5371202	1.29493904272
GROUND	1.39206110897	5.85039897211	1457805	1.29475963523
GROUND	1.39069400291	5.85072809921	8590365	1.29443050813
GROUND	1.39145546044	5.85052161115	8509690	1.29463699619
