Type	Memory	Residual	ModelID	TotalMI
REAL_REAL	0.91818825597	6.76055387596	9251463	0.84743797854
REAL_REAL	0.91791306998	6.76108707892	9186858	0.84690477558
REAL_REAL	0.92015105564	6.76011301724	1721435	0.84787883726
REAL_REAL	0.91819359136	6.7608554094	5315991	0.8471364451
REAL_REAL	0.91952812216	6.76043085572	3669372	0.84756099878
RANDOM_BY_TYPE	0.78933389577	6.86552449028	9597592	0.74246736422
RANDOM_BY_TYPE	0.7820756135	6.86733241313	4358068	0.74065944137
RANDOM_BY_TYPE	0.66065334207	6.97767075608	688336	0.63032109842
RANDOM_BY_TYPE	0.78975107635	6.84163745059	9337660	0.76635440391
RANDOM_BY_TYPE	0.8010368371	6.87270485702	9916852	0.73528699748
RANDOM_BY_TYPE	0.8771982575	6.80518401891	5555109	0.80280783559
RANDOM_BY_TYPE	0.79233588037	6.86298942581	347430	0.74500242869
RANDOM_BY_TYPE	0.80454189254	6.87158630699	1175712	0.73640554751
RANDOM_BY_TYPE	0.73444772076	6.90348825983	8401269	0.70450359467
RANDOM_BY_TYPE	0.76790372813	6.89548563374	3251882	0.71250622076
RANDOM_BY_TYPE	0.85901996134	6.8084474678	2660963	0.7995443867
RANDOM_BY_TYPE	0.77978612764	6.88202226927	9592282	0.72596958523
RANDOM_BY_TYPE	0.76836561605	6.92439293455	7681276	0.68359891995
RANDOM_BY_TYPE	0.73166767476	6.91082837652	250990	0.69716347798
RANDOM_BY_TYPE	0.72914764408	6.91782305445	4873914	0.69016880005
RANDOM_BY_TYPE	0.77423028063	6.87794608471	3707683	0.73004576979
RANDOM_BY_TYPE	0.8292052057	6.83335689327	5979014	0.77463496123
RANDOM_BY_TYPE	0.84605256182	6.8160150942	8308668	0.7919767603
RANDOM_BY_TYPE	0.78181797016	6.86160245322	7564816	0.74638940128
RANDOM_BY_TYPE	0.76408674534	6.8827991586	7873371	0.7251926959
