Type	Memory	Residual	ModelID	TotalMI
REAL_REAL	0.83695660172	7.03800409358	2730916	0.82164448712
REAL_REAL	0.83716312647	7.03800788002	9195379	0.82164070068
REAL_REAL	0.83497068171	7.03916097626	990762	0.82048760444
REAL_REAL	0.83725482314	7.03796939387	1820879	0.82167918683
REAL_REAL	0.83823148117	7.03769330717	3007686	0.82195527353
RANDOM_BY_TYPE	0.57452636766	7.31553699423	2834984	0.54411158647
RANDOM_BY_TYPE	0.52584024576	7.30639998397	5634841	0.55324859673
RANDOM_BY_TYPE	0.5431887228	7.30224905641	5012041	0.55739952429
RANDOM_BY_TYPE	0.4945552416	7.3782866283	7258858	0.4813619524
RANDOM_BY_TYPE	0.55690789707	7.3223023488	4847230	0.5373462319
RANDOM_BY_TYPE	0.53057168162	7.29881933437	9046162	0.56082924633
RANDOM_BY_TYPE	0.59679557702	7.26123503956	1403201	0.59841354114
RANDOM_BY_TYPE	0.55574492933	7.29150418694	3530454	0.56814439376
RANDOM_BY_TYPE	0.53875416417	7.29551805573	2955762	0.56413052497
RANDOM_BY_TYPE	0.56417392725	7.28329581073	7525260	0.57635276997
RANDOM_BY_TYPE	0.53598365084	7.34451355631	7086897	0.51513502439
RANDOM_BY_TYPE	0.4824822356	7.36448280958	2778737	0.49516577112
RANDOM_BY_TYPE	0.61698634325	7.27325448631	9155372	0.58639409439
RANDOM_BY_TYPE	0.55294669371	7.26757798401	5306660	0.59207059669
RANDOM_BY_TYPE	0.61909541481	7.2519229408	3580156	0.6077256399
RANDOM_BY_TYPE	0.57273308744	7.30863022646	2730670	0.55101835424
RANDOM_BY_TYPE	0.62607812797	7.23618861437	2880509	0.62345996633
RANDOM_BY_TYPE	0.56990194979	7.28473103399	9029801	0.57491754671
RANDOM_BY_TYPE	0.60819983967	7.24445618453	1201910	0.61519239617
RANDOM_BY_TYPE	0.58722483145	7.29182070602	1930526	0.56782787468
