Language	EstimatedSurprisal	VOCAB_FOR_RELATION_THRESHOLD	OTHER_WORDS_SMOOTHING	MERGE_ACROSS_RELATIONS_THRESHOLD	REPLACE_WORD_WITH_PLACEHOLDER
Afrikaans	4.009885861125465	50	0.0001	100	0.2
Amharic-Adap	3.4832928201334448	30	0.0001	20	0.2
Arabic	1.8425883381636878	800	0.0001	10	0.0
Armenian-Adap	2.698274837524282	300	0.0001	100	0.4
Bambara-Adap	3.7840931000677296	10	0.0001	100	0.2
Basque	4.500734040840001	800	0.0001	50	0.2
Breton-Adap	3.239623750295203	30	0.0001	10	0.2
Bulgarian	4.568158263977641	300	0.0001	800	0.2
Buryat-Adap	2.6454446814241432	500	0.0001	20	0.2
Cantonese-Adap	4.14164735971275	10	0.0001	10	0.4
Catalan	5.481436279765703	800	0.0001	800	0.0
Chinese	5.319065439514064	300	0.0001	50	0.0
Croatian	4.9769044891442995	100	0.0001	50	0.4
Danish	4.276675359291555	50	0.0001	400	0.2
Dutch	5.0041768244912825	300	0.0001	20	0.0
English	5.611096503041181	1000	0.0001	50	0.0
Erzya-Adap	3.143161898366844	500	0.0001	20	0.2
Estonian	4.784281185879031	100	0.0001	100	0.2
Faroese-Adap	2.335125703741622	30	0.0001	50	0.0
Finnish	5.018258113576325	2000	0.0001	20	0.0
Greek	3.7966680674872184	50	0.0001	20	0.4
Hebrew	4.862029551134427	800	0.0001	20	0.0
Hindi	5.581030597973916	300	0.0001	100	0.4
Hungarian	2.64398452527427	300	0.0001	50	0.2
Indonesian	5.071690403277344	100	0.0001	100	0.4
Italian	5.687254508526442	500	0.0001	400	0.0
Kazakh-Adap	2.3724724258753858	500	0.0001	50	0.0
Korean	4.865508314174857	300	0.0001	20	0.2
Kurmanji-Adap	3.2556226535695805	100	0.0001	20	0.4
Latvian	4.850643999779885	300	0.0001	100	0.4
Maltese	3.7521941165966775	30	0.0001	10	0.4
Naija-Adap	4.198000792242755	500	0.0001	20	0.2
North_Sami	3.200253610279644	2000	0.0001	20	0.4
Norwegian	5.475154760061411	800	0.0001	800	0.4
Persian	5.487299921249431	300	0.0001	100	0.4
Polish	5.415839636708654	300	0.0001	1000	0.0
Portuguese	5.309272802086656	300	0.0001	800	0.0
Romanian	5.639625011991554	500	0.0001	100	0.0
Serbian	4.494579713041636	100	0.0001	20	0.2
Slovak	3.1664210426992785	1000	0.0001	10	0.2
Slovenian	4.360871043101529	50	0.0001	400	0.2
Spanish	5.661269258944311	500	0.0001	1000	0.0
Thai-Adap	4.5535438124488445	30	0.0001	10	0.2
Turkish	3.587806982061415	50	0.0001	100	0.4
Ukrainian	3.836179602634224	30	0.0001	400	0.4
Urdu	5.36188201663579	300	0.0001	100	0.0
Uyghur-Adap	2.983744382767728	100	0.0001	50	0.4
Vietnamese	4.5205405344611975	50	0.0001	100	0.2
