Language	Type	FileName	Position	Memory	Surprisal
Czech-PDT	RANDOM_INFOSTRUC	1100715	0	0.047111004591	0.047111004591
Czech-PDT	RANDOM_INFOSTRUC	1100715	1	0.094222009182	0.094222009182
Czech-PDT	RANDOM_INFOSTRUC	1100715	2	0.141333013773	0.141333013773
Czech-PDT	RANDOM_INFOSTRUC	1100715	3	0.188444018364	0.188444018364
Czech-PDT	RANDOM_INFOSTRUC	1100715	4	0.235555022955	0.235555037856
Czech-PDT	RANDOM_INFOSTRUC	1100715	5	0.282666027546	0.282666027546
Czech-PDT	RANDOM_INFOSTRUC	1100715	6	0.329777032137	0.329777032137
Czech-PDT	RANDOM_INFOSTRUC	1100715	7	0.376888036728	0.376888036728
Czech-PDT	RANDOM_INFOSTRUC	1100715	8	0.423999041319	0.423999041319
Czech-PDT	RANDOM_INFOSTRUC	1100715	9	0.47111004591	0.471110075712
Czech-PDT	RANDOM_INFOSTRUC	1100715	10	0.518221020699	0.518221020699
Czech-PDT	RANDOM_INFOSTRUC	1100715	11	0.565332055092	0.565332055092
Czech-PDT	RANDOM_INFOSTRUC	1100715	12	0.612443089485	0.612443089485
Czech-PDT	RANDOM_INFOSTRUC	1100715	13	0.659554064274	0.659554064274
Czech-PDT	RANDOM_INFOSTRUC	1100715	14	0.706665039062	0.706665039062
Czech-PDT	RANDOM_INFOSTRUC	1100715	15	0.753776073456	0.731544792652
Czech-PDT	RANDOM_INFOSTRUC	1100715	16	0.800887107849	0.755100309849
Czech-PDT	RANDOM_INFOSTRUC	1100715	17	0.847998082638	0.778655767441
Czech-PDT	RANDOM_INFOSTRUC	1100715	18	0.895109057426	0.802211284637
Czech-PDT	RANDOM_INFOSTRUC	1100715	19	0.94222009182	0.825766801834
Czech-PDT	RANDOM_INFOSTRUC	1100715	20	0.989331126213	0.843272149563
Czech-PDT	RANDOM_INFOSTRUC	1100715	21	1.0364420414	0.858975768089
Czech-PDT	RANDOM_INFOSTRUC	1100715	22	1.08355307579	0.873875558376
Czech-PDT	RANDOM_INFOSTRUC	1100715	23	1.13066411018	0.885653316975
Czech-PDT	RANDOM_INFOSTRUC	1100715	24	1.17777514458	0.896230518818
Czech-PDT	RANDOM_INFOSTRUC	1100715	25	1.22488617897	0.905167460442
Czech-PDT	RANDOM_INFOSTRUC	1100715	26	1.27199709415	0.912833690643
