Type	Distance	Surprisal	MI	EE
good	0	2.06856758681	NA	0.0
good	1	0.29195106479	1.77661652202	1.77661652202
good	2	0.0729865489103	0.21896451588	2.21454555377
good	3	0.0729865489103	0.0	2.21454555377
good	4	0.0729865489103	0.0	2.21454555377
good	5	0.0729865489103	0.0	2.21454555377
good	6	0.0729865489103	0.0	2.21454555377
bad	0	2.06937301571	NA	0.0
bad	1	0.291673373027	1.77769964269	1.77769964269
bad	2	0.145830550934	0.145842822093	2.06938528687
bad	3	0.145830550934	0.0	2.06938528687
bad	4	0.145830550934	0.0	2.06938528687
bad	5	0.0729152754672	0.0729152754672	2.43396166421
bad	6	0.0729152754672	0.0	2.43396166421

