999 44.27123777499083
44.26895986577738 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083 44.27123777499083
Namespace(alpha=0.0, cutoff=12, delta=1.0, gamma=1, idForProcess=2919044, language='Sesotho_Acqdiv', model=None)
ei 0
sr 2
5 4
1s 6
9a 8
pn 10
sm 12
ng 14
av 16
t^ 18
2 20
cp 22
wh 24
2s 26
ht 28
8 30
wo 32
if 34
cj 36
pr 38
ps 40
10 42
1 44
rf 46
rl 48
7 50
2a 52
6 54
om 56
17 58
lc 60
m^ 62
di 64
lo 66
st 68
9 70
ij 72
3 74
wa 76
14 78
f^ 80
