Language	Type	FileName	Position	Memory	Surprisal
Arabic	REAL_REAL	9176073	0	0.0449889972806	0.0449890010059
Arabic	REAL_REAL	9176073	1	0.0899779945612	0.0899780020118
Arabic	REAL_REAL	9176073	2	0.134966999292	0.134966999292
Arabic	REAL_REAL	9176073	3	0.179955989122	0.179956004024
Arabic	REAL_REAL	9176073	4	0.224944993854	0.224944993854
Arabic	REAL_REAL	9176073	5	0.269933998585	0.269933998585
Arabic	REAL_REAL	9176073	6	0.314922988415	0.314922988415
Arabic	REAL_REAL	9176073	7	0.359911978245	0.359912008047
Arabic	REAL_REAL	9176073	8	0.404900997877	0.404900997877
Arabic	REAL_REAL	9176073	9	0.449889987707	0.449889987707
Arabic	REAL_REAL	9176073	10	0.494878977537	0.494878977537
Arabic	REAL_REAL	9176073	11	0.539867997169	0.539867997169
Arabic	REAL_REAL	9176073	12	0.584856987	0.584856987
Arabic	REAL_REAL	9176073	13	0.62984597683	0.62984597683
Arabic	REAL_REAL	9176073	14	0.67483496666	0.67483496666
Arabic	REAL_REAL	9176073	15	0.71982395649	0.719824016094
Arabic	REAL_REAL	9176073	16	0.764813005924	0.764813005924
Arabic	REAL_REAL	9176073	17	0.809801995754	0.809801995754
Arabic	REAL_REAL	9176073	18	0.854790985584	0.85479092598
Arabic	REAL_REAL	9176073	19	0.899779975414	0.899779975414
Arabic	REAL_REAL	9176073	20	0.944768965244	0.944768965244
Arabic	REAL_REAL	9176073	21	0.989757955074	0.989757955074
Arabic	REAL_REAL	9176073	22	1.03474700451	1.03474700451
Arabic	REAL_REAL	9176073	23	1.07973599434	1.07973599434
Arabic	REAL_REAL	9176073	24	1.12472498417	1.12472498417
Arabic	REAL_REAL	9176073	25	1.169713974	1.169713974
Arabic	REAL_REAL	9176073	26	1.21470296383	1.21470296383
Arabic	REAL_REAL	9176073	27	1.25969195366	1.25969195366
Arabic	REAL_REAL	9176073	28	1.30468094349	1.30468094349
Arabic	REAL_REAL	9176073	29	1.34966993332	1.33056235313
Arabic	REAL_REAL	9176073	30	1.39465892315	1.35305690765
Arabic	REAL_REAL	9176073	31	1.43964791298	1.37555146217
Arabic	REAL_REAL	9176073	32	1.48463690281	1.39804589748
Arabic	REAL_REAL	9176073	33	1.52962601185	1.420540452
Arabic	REAL_REAL	9176073	34	1.57461500168	1.44303488731
Arabic	REAL_REAL	9176073	35	1.61960399151	1.45988643169
Arabic	REAL_REAL	9176073	36	1.66459298134	1.47167170048
Arabic	REAL_REAL	9176073	37	1.70958197117	1.47946679592
Arabic	REAL_REAL	9176073	38	1.754570961	1.48471653461
Arabic	REAL_REAL	5370867	0	0.0449889972806	0.0449889972806
Arabic	REAL_REAL	5370867	1	0.0899779945612	0.0899779945612
Arabic	REAL_REAL	5370867	2	0.134966999292	0.134966999292
Arabic	REAL_REAL	5370867	3	0.179955989122	0.179955989122
Arabic	REAL_REAL	5370867	4	0.224944993854	0.224944993854
Arabic	REAL_REAL	5370867	5	0.269933998585	0.269933998585
Arabic	REAL_REAL	5370867	6	0.314922988415	0.314922988415
Arabic	REAL_REAL	5370867	7	0.359911978245	0.359911978245
Arabic	REAL_REAL	5370867	8	0.404900997877	0.404900997877
Arabic	REAL_REAL	5370867	9	0.449889987707	0.449889987707
Arabic	REAL_REAL	5370867	10	0.494878977537	0.494878977537
Arabic	REAL_REAL	5370867	11	0.539867997169	0.539867997169
Arabic	REAL_REAL	5370867	12	0.584856987	0.584856987
Arabic	REAL_REAL	5370867	13	0.62984597683	0.62984597683
Arabic	REAL_REAL	5370867	14	0.67483496666	0.674835026264
Arabic	REAL_REAL	5370867	15	0.71982395649	0.71982395649
Arabic	REAL_REAL	5370867	16	0.764813005924	0.764813005924
Arabic	REAL_REAL	5370867	17	0.809801995754	0.809801995754
Arabic	REAL_REAL	5370867	18	0.854790985584	0.854790985584
Arabic	REAL_REAL	5370867	19	0.899779975414	0.899779975414
Arabic	REAL_REAL	5370867	20	0.944768965244	0.944769024849
Arabic	REAL_REAL	5370867	21	0.989757955074	0.989757955074
Arabic	REAL_REAL	5370867	22	1.03474700451	1.03474700451
Arabic	REAL_REAL	5370867	23	1.07973599434	1.07973599434
Arabic	REAL_REAL	5370867	24	1.12472498417	1.12472498417
Arabic	REAL_REAL	5370867	25	1.169713974	1.169713974
Arabic	REAL_REAL	5370867	26	1.21470296383	1.21470296383
Arabic	REAL_REAL	5370867	27	1.25969195366	1.25969195366
Arabic	REAL_REAL	5370867	28	1.30468094349	1.30468094349
Arabic	REAL_REAL	5370867	29	1.34966993332	1.33054900169
Arabic	REAL_REAL	5370867	30	1.39465892315	1.353043437
Arabic	REAL_REAL	5370867	31	1.43964791298	1.37553787231
Arabic	REAL_REAL	5370867	32	1.48463690281	1.39803242683
Arabic	REAL_REAL	5370867	33	1.52962601185	1.42052698135
Arabic	REAL_REAL	5370867	34	1.57461500168	1.44302153587
Arabic	REAL_REAL	5370867	35	1.61960399151	1.45970714092
Arabic	REAL_REAL	5370867	36	1.66459298134	1.47134029865
Arabic	REAL_REAL	5370867	37	1.70958197117	1.47908127308
Arabic	REAL_REAL	5370867	38	1.754570961	1.48430597782
Arabic	REAL_REAL	7735489	0	0.0449889972806	0.0449889935553
Arabic	REAL_REAL	7735489	1	0.0899779945612	0.0899779871106
Arabic	REAL_REAL	7735489	2	0.134966999292	0.134966999292
Arabic	REAL_REAL	7735489	3	0.179955989122	0.179955974221
Arabic	REAL_REAL	7735489	4	0.224944993854	0.224944993854
Arabic	REAL_REAL	7735489	5	0.269933998585	0.269933998585
Arabic	REAL_REAL	7735489	6	0.314922988415	0.314922988415
Arabic	REAL_REAL	7735489	7	0.359911978245	0.359911948442
Arabic	REAL_REAL	7735489	8	0.404900997877	0.404900997877
Arabic	REAL_REAL	7735489	9	0.449889987707	0.449889987707
Arabic	REAL_REAL	7735489	10	0.494878977537	0.494878977537
Arabic	REAL_REAL	7735489	11	0.539867997169	0.539867997169
Arabic	REAL_REAL	7735489	12	0.584856987	0.584856987
Arabic	REAL_REAL	7735489	13	0.62984597683	0.62984597683
Arabic	REAL_REAL	7735489	14	0.67483496666	0.674834907055
Arabic	REAL_REAL	7735489	15	0.71982395649	0.719823896885
Arabic	REAL_REAL	7735489	16	0.764813005924	0.764813005924
Arabic	REAL_REAL	7735489	17	0.809801995754	0.809801995754
Arabic	REAL_REAL	7735489	18	0.854790985584	0.854790985584
Arabic	REAL_REAL	7735489	19	0.899779975414	0.899779975414
Arabic	REAL_REAL	7735489	20	0.944768965244	0.944768965244
Arabic	REAL_REAL	7735489	21	0.989757955074	0.989757955074
Arabic	REAL_REAL	7735489	22	1.03474700451	1.03474700451
Arabic	REAL_REAL	7735489	23	1.07973599434	1.07973599434
Arabic	REAL_REAL	7735489	24	1.12472498417	1.12472498417
Arabic	REAL_REAL	7735489	25	1.169713974	1.169713974
Arabic	REAL_REAL	7735489	26	1.21470296383	1.21470296383
