Language	Distance	Surprisal	MI	EE
simulation-6-long.py	0	1.8891591637540217	NA	0.0
simulation-6-long.py	1	0.3080460530199443	1.5811131107340775	1.5811131107340775
simulation-6-long.py	2	0.23102001934326802	0.07702603367667629	1.73516517808743
simulation-6-long.py	3	0.15401334622884535	0.07700667311442266	1.9661851974306979
simulation-6-long.py	4	0.15401334622884535	0.0	1.9661851974306979
simulation-6-long.py	5	0.07700667311442268	0.07700667311442268	2.3512185630028113
simulation-6-long.py	6	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	7	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	8	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	9	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	10	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	11	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	12	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	13	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	14	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	15	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	16	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	17	0.07700667311442268	0.0	2.3512185630028113
simulation-6-long.py	18	0.07700667311442268	0.0	2.3512185630028113
