Language	Estimator	Model	Distance	Surprisal	Script	Part	It	SumIt	SumTIt
Czech	Heldout	NAD	5	-3.428561763205939	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	0.0007732252486034596	-2.728231162012445	-2.8217460129606406
Czech	Heldout	NAD	0	-9.005620887866696	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-1.9266443451718818	0	0
Czech	Heldout	NAD	1	-7.078976542694814	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-0.0694763327919663	-1.9266443451718818	-1.9266443451718818
Czech	Heldout	NAD	2	-7.009500209902848	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.025958095073796983	-1.996120677963848	-2.0655970107558144
Czech	Heldout	NAD	3	-7.035458304976645	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.046179489668205065	-1.970162582890051	-1.9877227255344234
Czech	Heldout	NAD	4	-7.08163779464485	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.05295029541377705	-1.923983093221846	-1.8030047668616032
Czech	Heldout	NAD	5	-7.134588090058627	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.0557844801100158	-1.871032797808069	-1.538253289792718
Czech	Heldout	NAD	0	-10.419032305190985	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	-2.1655586852462037	0	0
Czech	Heldout	NAD	1	-8.253473619944781	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.024390573587293574	-2.1655586852462037	-2.1655586852462037
Czech	Heldout	NAD	2	-8.277864193532075	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.13255152839269257	-2.14116811165891	-2.1167775380716165
Czech	Heldout	NAD	3	-8.410415721924767	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.15768484683879436	-2.0086165832662175	-1.7191229528935388
Czech	Heldout	NAD	4	-8.568100568763562	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.166315110668938	-1.8509317364274231	-1.0883835655383614
Czech	Heldout	NAD	5	-8.7344156794325	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.1698708343056481	-1.6846166257584851	-0.25680801219367133
Czech	Heldout	DAN	0	-2.6416252183116504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-2.2651055297643654	0	0
Czech	Heldout	DAN	1	-0.37651968854728496	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.01376154278270536	-2.2651055297643654	-2.2651055297643654
Czech	Heldout	DAN	2	-0.3627581457645796	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.0021044504602245606	-2.2788670725470705	-2.292628615329776
Czech	Heldout	DAN	3	-0.36065369530435504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.0006595328006493428	-2.2809715230072953	-2.2989419667104496
Czech	Heldout	DAN	4	-0.3599941625037057	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.0002109107353778228	-2.281631055807945	-2.301580097913047
Czech	Heldout	DAN	5	-0.35978325176832787	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-3.8653728366866424e-05	-2.2818419665433227	-2.302634651589936
Czech	Heldout	DAN	0	-11.677978303784094	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	-2.177626656682749	0	0
Czech	Heldout	DAN	1	-9.500351647101345	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.001251294055013119	-2.177626656682749	-2.177626656682749
Czech	Heldout	DAN	2	-9.501602941156358	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.1356531617316481	-2.176375362627736	-2.175124068572723
Czech	Heldout	DAN	3	-9.637256102888006	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.16318736634942432	-2.040722200896088	-1.7681645833777786
Czech	Heldout	DAN	4	-9.80044346923743	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.17335832262237716	-1.8775348345466636	-1.1154151179800813
Czech	Heldout	DAN	5	-9.973801791859808	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	0.1779012311059276	-1.7041765119242864	-0.2486235048681955
Czech	Heldout	DAN	0	-12.029963095413597	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	-1.0062786666928236	0	0
Czech	Heldout	DAN	1	-11.023684428720774	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.3926404165885522	-1.0062786666928236	-1.0062786666928236
Czech	Heldout	DAN	2	-11.416324845309326	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.453324939419705	-0.6136382501042714	-0.22099783351571922
Czech	Heldout	DAN	3	-11.869649784729031	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.4643425180894827	-0.16031331068456645	1.1389769847433957
Czech	Heldout	DAN	4	-12.333992302818514	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.46766666155025405	0.30402920740491624	2.9963470571013264
Czech	Heldout	DAN	5	-12.801658964368768	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod	0.4689951389833009	0.7716958689551703	5.334680364852597
Czech	Heldout	DAN	0	-6.156792925218384	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	-2.63901433502319	0	0
Czech	Heldout	DAN	1	-3.517778590195194	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	-0.08060131260169845	-2.63901433502319	-2.63901433502319
Czech	Heldout	DAN	2	-3.4371772775934955	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	-0.006338192471840198	-2.7196156476248885	-2.800216960226587
Czech	Heldout	DAN	3	-3.4308390851216553	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	0.00013479223239354354	-2.7259538400967287	-2.8192315376421075
Czech	Heldout	DAN	4	-3.430973877354049	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	0.0007269119429826887	-2.725819047864335	-2.8186923687125334
Czech	Heldout	DAN	5	-3.4317007892970315	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	case	0.0007828336015220927	-2.7250921359213525	-2.81505780899762
Czech	Heldout	DAN	0	-9.005620887866696	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-2.5546776637406508	0	0
Czech	Heldout	DAN	1	-6.450943224126045	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-0.11474744977140894	-2.5546776637406508	-2.5546776637406508
Czech	Heldout	DAN	2	-6.336195774354636	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	-0.005166526114461334	-2.6694251135120597	-2.7841725632834686
Czech	Heldout	DAN	3	-6.331029248240175	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.01731095748327327	-2.674591639626521	-2.7996721416268526
Czech	Heldout	DAN	4	-6.348340205723448	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.024520133198915772	-2.6572806821432478	-2.7304283116937595
Czech	Heldout	DAN	5	-6.372860338922364	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det	0.027420128890411455	-2.632760548944332	-2.6078276456991807
Czech	Heldout	DAN	0	-10.419032305190985	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	-1.6513666533880436	0	0
Czech	Heldout	DAN	1	-8.767665651802941	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.06620609952738832	-1.6513666533880436	-1.6513666533880436
Czech	Heldout	DAN	2	-8.83387175133033	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.16063818687236875	-1.5851605538606552	-1.518954454333267
Czech	Heldout	DAN	3	-8.994509938202699	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.18235914280766785	-1.4245223669882865	-1.0370398937161607
Czech	Heldout	DAN	4	-9.176869081010366	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.19002324506553236	-1.2421632241806186	-0.3076033224854893
Czech	Heldout	DAN	5	-9.366892326075899	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod	0.19328212423984859	-1.0521399791150863	0.6425129028421726
Czech	Heldout	ADN	0	-2.6416252183116504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-2.2651236087158093	0	0
Czech	Heldout	ADN	1	-0.37650160959584095	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.013811154926661684	-2.2651236087158093	-2.2651236087158093
Czech	Heldout	ADN	2	-0.36269045466917926	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.0021007223394978736	-2.278934763642471	-2.292745918569133
Czech	Heldout	ADN	3	-0.3605897323296814	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.0006590803473049966	-2.281035485981969	-2.2990480855876263
Czech	Heldout	ADN	4	-0.3599306519823764	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-0.00021094579616776077	-2.281694566329274	-2.3016844069768463
Czech	Heldout	ADN	5	-0.35971970618620863	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS	-3.873281452054789e-05	-2.2819055121254417	-2.302739135957685
Czech	Heldout	ADN	0	-11.677978303784094	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN	-2.1783169090780206	0	0
