Language	Position	Type	Memory	MI_Mean	MI_SD	MI_SE
Arabic	0	REAL_REAL	0.0744616836309	0.0744616910815	0.0	0.0
Arabic	1	REAL_REAL	0.148923367262	0.148923382163	0.0	0.0
Arabic	2	REAL_REAL	0.223385035992	0.223385021091	6.103515625e-05	1.93010109797e-05
Arabic	3	REAL_REAL	0.297846734524	0.297846764326	0.0	0.0
Arabic	4	REAL_REAL	0.372308403254	0.372308433056	0.0	0.0
Arabic	5	REAL_REAL	0.446770071983	0.446770042181	0.0001220703125	3.86020219594e-05
Arabic	6	REAL_REAL	0.521231770515	0.521231710911	0.000172633488546	5.45915027033e-05
Arabic	7	REAL_REAL	0.595693469048	0.595693528652	0.0	0.0
Arabic	8	REAL_REAL	0.670155107975	0.67015504837	0.000172633488546	5.45915027033e-05
Arabic	9	REAL_REAL	0.744616806507	0.744616866112	0.0	0.0
Arabic	10	REAL_REAL	0.819078505039	0.819078445435	0.000345266977092	0.000109183005407
Arabic	11	REAL_REAL	0.893540143967	0.893540084362	0.000244140625	7.72040439188e-05
Arabic	12	REAL_REAL	0.968001842499	0.968001961708	0.0	0.0
Arabic	13	REAL_REAL	1.04246354103	1.04246342182	0.000345266977092	0.000109183005407
Arabic	14	REAL_REAL	1.11692523956	1.11692523956	0.000345266977092	0.000109183005407
Arabic	15	REAL_REAL	1.1913869381	1.1913870573	0.0	0.0
Arabic	16	REAL_REAL	1.26584851742	1.26584839821	0.00048828125	0.000154408087838
Arabic	17	REAL_REAL	1.34031021595	1.31435489655	0.0058185425587	0.00183998467401
Arabic	18	REAL_REAL	1.41477191448	1.3515856266	0.00584919378161	0.0018496774137
Arabic	19	REAL_REAL	1.48923361301	1.38881659508	0.00579801853746	0.0018334944034
Arabic	20	REAL_REAL	1.56369531155	1.42604744434	0.0058185425587	0.00183998467401
Arabic	21	REAL_REAL	1.63815701008	1.46327841282	0.00579801853746	0.0018334944034
Arabic	22	REAL_REAL	1.71261870861	1.50050926208	0.00579801853746	0.0018334944034
Arabic	23	REAL_REAL	1.78708028793	1.53704595566	0.00707586761564	0.00223758583888
Arabic	24	REAL_REAL	1.86154198647	1.56452071667	0.00844317208976	0.00266996538267
Arabic	25	REAL_REAL	1.936003685	1.58934116364	0.00847136322409	0.00267888023518
Arabic	26	REAL_REAL	2.01046538353	1.61416172981	0.00847136322409	0.00267888023518
Arabic	27	REAL_REAL	2.08492708206	1.63675189018	0.00985070317984	0.00311506586149
Arabic	28	REAL_REAL	2.15938878059	1.65536725521	0.00985070317984	0.00311506586149
Arabic	29	REAL_REAL	2.23385047913	1.67313826084	0.0107088433579	0.00338643346913
Arabic	30	REAL_REAL	2.30831217766	1.68803191185	0.010896442458	0.00344575755298
Arabic	31	REAL_REAL	2.38277387619	1.7014811039	0.0114823980257	0.00363105302677
Arabic	32	REAL_REAL	2.45723557472	1.71325087547	0.0120497681201	0.00381047115661
