Language	Type	ModelID	AUC
Arabic	REAL_REAL	9176073	12.5043325424
Arabic	REAL_REAL	5370867	12.5043945312
Arabic	REAL_REAL	7735489	12.5043516159
Arabic	REAL_REAL	7977529	12.5043001175
Arabic	REAL_REAL	4883761	12.5043325424
Arabic	RANDOM_BY_TYPE	7146921	12.8115053177
Arabic	RANDOM_BY_TYPE	4050320	12.8827877045
Arabic	RANDOM_BY_TYPE	2659456	12.7815132141
Arabic	RANDOM_BY_TYPE	7379979	12.8197212219
Arabic	RANDOM_BY_TYPE	1538210	12.8177957535
Arabic	RANDOM_BY_TYPE	4246107	12.8349962234
Arabic	RANDOM_BY_TYPE	7700718	12.7741928101
Arabic	RANDOM_BY_TYPE	5082055	12.8492908478
Arabic	RANDOM_BY_TYPE	8237396	12.8059368134
Arabic	RANDOM_BY_TYPE	8306561	12.8678359985
Arabic	RANDOM_BY_TYPE	4925146	12.8547725677
Arabic	RANDOM_BY_TYPE	4125741	12.7226581573
Arabic	RANDOM_BY_TYPE	9866649	12.858297348
Arabic	RANDOM_BY_TYPE	4476691	12.7565717697
Arabic	RANDOM_BY_TYPE	3181230	12.8459625244
Arabic	RANDOM_BY_TYPE	4134384	12.7762384415
Arabic	RANDOM_BY_TYPE	133100	12.7154369354
Arabic	RANDOM_BY_TYPE	6304011	12.8317642212
Arabic	RANDOM_BY_TYPE	1999861	12.7618274689
Arabic	RANDOM_BY_TYPE	1575310	12.7794847488
Arabic	GROUND	6680235	12.5996751785
Arabic	GROUND	1900466	12.5994691849
Arabic	GROUND	7315720	12.5993518829
Arabic	GROUND	5771067	12.5996160507
Arabic	GROUND	620872	12.599363327
Catalan	REAL_REAL	8039464	9.32476329803
Catalan	REAL_REAL	3546135	9.32476234436
Catalan	REAL_REAL	2663768	9.32476329803
Catalan	REAL_REAL	5576599	9.32476234436
Catalan	REAL_REAL	9679008	9.32475566864
Catalan	RANDOM_BY_TYPE	7946527	9.46301746368
Catalan	RANDOM_BY_TYPE	5169331	9.39503002167
Catalan	RANDOM_BY_TYPE	5143640	9.42469406128
Catalan	RANDOM_BY_TYPE	568306	9.45512104034
Catalan	RANDOM_BY_TYPE	6669341	9.4743642807
Catalan	RANDOM_BY_TYPE	9816140	9.43241977692
Catalan	RANDOM_BY_TYPE	6506167	9.44907855988
Catalan	RANDOM_BY_TYPE	5302122	9.48451805115
Catalan	RANDOM_BY_TYPE	6436422	9.46242427826
Catalan	RANDOM_BY_TYPE	3527527	9.36684036255
Catalan	RANDOM_BY_TYPE	7031638	9.43882274628
Catalan	RANDOM_BY_TYPE	7692504	9.43434429169
Catalan	RANDOM_BY_TYPE	3497953	9.39597511292
Catalan	RANDOM_BY_TYPE	5245089	9.48670578003
Catalan	RANDOM_BY_TYPE	3126904	9.37283706665
Catalan	RANDOM_BY_TYPE	2089626	9.42211341858
Catalan	RANDOM_BY_TYPE	6410395	9.43239402771
Catalan	RANDOM_BY_TYPE	8235747	9.43802165985
Catalan	RANDOM_BY_TYPE	7465973	9.41741752625
Catalan	RANDOM_BY_TYPE	4173140	9.39544487
Catalan	GROUND	4954170	9.33286952972
Catalan	GROUND	5371202	9.33283138275
Catalan	GROUND	1457805	9.33285522461
Catalan	GROUND	8590365	9.33285713196
Catalan	GROUND	8509690	9.33285617828
Czech	REAL_REAL	7347863	10.058257103
Czech	REAL_REAL	5155541	10.0582551956
Czech	REAL_REAL	1755619	10.0582475662
Czech	REAL_REAL	4050365	10.0582580566
Czech	REAL_REAL	8916514	10.0582513809
Czech	REAL_REAL	7294250	10.0582561493
Czech	REAL_REAL	4850125	10.0582580566
Czech	REAL_REAL	7222605	10.0582532883
Czech	REAL_REAL	4101479	10.0582542419
Czech	REAL_REAL	2632932	10.0582504272
Czech	RANDOM_BY_TYPE	6163690	10.0823173523
Czech	RANDOM_BY_TYPE	6095708	10.0768079758
Czech	RANDOM_BY_TYPE	2464002	10.0748329163
Czech	RANDOM_BY_TYPE	4849741	10.0937671661
Czech	RANDOM_BY_TYPE	6593043	10.0898895264
Czech	RANDOM_BY_TYPE	4634984	10.0911483765
Czech	RANDOM_BY_TYPE	1450381	10.0678367615
Czech	RANDOM_BY_TYPE	112083	10.0927391052
Czech	RANDOM_BY_TYPE	1344228	10.0681524277
Czech	RANDOM_BY_TYPE	4518459	10.0820837021
Czech	RANDOM_BY_TYPE	6006482	10.0720739365
Czech	RANDOM_BY_TYPE	5777499	10.0902290344
Czech	RANDOM_BY_TYPE	6116126	10.077911377
Czech	RANDOM_BY_TYPE	4007913	10.0716247559
Czech	RANDOM_BY_TYPE	5553948	10.0785999298
