Language	GROUND	RANDOM_BY_TYPE
Arabic	10	11
Catalan	10	11
Czech	12	18
Dutch	10	27
Finnish	54	83
French	12	14
German	10	19
Hindi	10	11
Norwegian	10	12
Spanish	10	14
Basque	10	15
Bulgarian	10	14
Croatian	10	30
Estonian	10	347
Hebrew	10	11
Japanese	10	25
Polish	131	309
Romanian	10	10
Slovak	138	303
Slovenian	12	297
Swedish	10	31
Afrikaans	10	13
Chinese	10	21
Danish	10	33
Greek	10	16
Hungarian	35	220
North_Sami	101	335
Persian	10	25
Serbian	11	26
Turkish	10	13
Ukrainian	10	28
Vietnamese	132	303
Amharic-Adap	71	137
Armenian-Adap	17	140
Breton-Adap	10	35
Buryat-Adap	10	26
Cantonese-Adap	135	306
Faroese-Adap	10	27
Kazakh-Adap	10	11
Kurmanji-Adap	101	338
Naija-Adap	93	214
Thai-Adap	10	45
Uyghur-Adap	132	326
Bambara-Adap	10	25
Erzya-Adap	101	846
Maltese	10	30
Latvian	132	308
Indonesian	10	11
Urdu	10	17
Portuguese	99	15
English	10	13
Italian	10	10
Russian	13	20
Korean	10	11
