Language	Type	ModelID	AUC
Arabic	RANDOM_BY_TYPE	2528093	2.90562987328
Arabic	RANDOM_BY_TYPE	1200659	2.91012597084
Arabic	RANDOM_BY_TYPE	5919894	2.90267395973
Arabic	RANDOM_BY_TYPE	3289409	2.90778493881
Arabic	RANDOM_BY_TYPE	9345148	2.90939474106
Arabic	GROUND	2766976	2.89264559746
Catalan	RANDOM_BY_TYPE	7631179	4.10327577591
Catalan	RANDOM_BY_TYPE	2684169	4.09370994568
Catalan	RANDOM_BY_TYPE	8585444	4.09121370316
Catalan	RANDOM_BY_TYPE	1785191	4.08296871185
Catalan	RANDOM_BY_TYPE	8002402	4.0921497345
Catalan	RANDOM_BY_TYPE	3226530	4.09330320358
Catalan	GROUND	9427249	4.07034111023
Czech	RANDOM_BY_TYPE	440278	3.42176198959
Czech	RANDOM_BY_TYPE	5678232	3.41545605659
Czech	RANDOM_BY_TYPE	1275730	3.4096121788
Czech	RANDOM_BY_TYPE	7088601	3.42376041412
Czech	RANDOM_BY_TYPE	7434686	3.4200937748
Czech	RANDOM_BY_TYPE	7750565	3.41775465012
Czech	GROUND	9104862	3.41535568237
Czech	GROUND	9749935	3.41532039642
Dutch	RANDOM_BY_TYPE	1537781	3.31272983551
Dutch	RANDOM_BY_TYPE	7230800	3.30226683617
Dutch	RANDOM_BY_TYPE	5275400	3.31484222412
Dutch	RANDOM_BY_TYPE	1388571	3.31136751175
Dutch	RANDOM_BY_TYPE	9107452	3.31697845459
Dutch	GROUND	2309162	3.29052853584
Finnish	RANDOM_BY_TYPE	4688562	1.35722005367
Finnish	RANDOM_BY_TYPE	1266455	1.35858464241
Finnish	RANDOM_BY_TYPE	4992423	1.35925972462
Finnish	RANDOM_BY_TYPE	724155	1.35598313808
Finnish	RANDOM_BY_TYPE	956428	1.35744428635
Finnish	GROUND	5946127	1.35791885853
French	RANDOM_BY_TYPE	6897180	4.84603404999
French	RANDOM_BY_TYPE	7382759	4.83387947083
French	RANDOM_BY_TYPE	1899622	4.83569002151
French	RANDOM_BY_TYPE	8086559	4.84475231171
French	RANDOM_BY_TYPE	7732388	4.83582735062
French	GROUND	6846887	4.80824565887
German	RANDOM_BY_TYPE	5996362	2.10331130028
German	RANDOM_BY_TYPE	3695397	2.10238909721
German	RANDOM_BY_TYPE	532202	2.10370230675
German	RANDOM_BY_TYPE	8191511	2.10754013062
German	RANDOM_BY_TYPE	4696770	2.10340595245
German	GROUND	9313398	2.10258078575
Hindi	RANDOM_BY_TYPE	3513258	4.09314107895
Hindi	RANDOM_BY_TYPE	7886703	4.09678888321
Hindi	RANDOM_BY_TYPE	2159760	4.07402467728
Hindi	RANDOM_BY_TYPE	2116866	4.10644435883
Hindi	RANDOM_BY_TYPE	1591389	4.08740568161
Hindi	RANDOM_BY_TYPE	1358553	4.09628200531
Hindi	GROUND	7143256	4.0679693222
Norwegian	RANDOM_BY_TYPE	959860	3.1170797348
Norwegian	RANDOM_BY_TYPE	7844226	3.10998916626
