language	result1Mean	result2Mean	result1Low	result1High	result2Low	result2High	result3Mean	result3Low	result3High
Swedish	0.9999999994472095	0.9465674584228069	0.9999999988888888	0.9999999996296296	0.9017166629914315	0.9841540483590949	0.9999999994472095	0.9999999988888888	0.9999999996296296
Kazakh-Adap	0.9999999990000085	1.0	0.9999999989999999	0.9999999989999999	1.0	1.0	0.9999999990000085	0.9999999989999999	0.9999999989999999
Estonian	0.9996395451166135	0.8769811732253733	0.9945652173372519	0.9999999999526066	0.8310969873225733	0.9181029826293498	0.9992790902848161	0.9891304347288515	0.9999999999526066
Turkish	0.9999999990808024	0.9954824583871021	0.9999999987499999	0.9999999991666666	0.9824562072753906	1.0	0.9999999990808024	0.9999999987499999	0.9999999991666666
Romanian	0.9999999985350637	0.9752750100135811	0.9999999975	0.9999999989999999	0.9315789031982422	1.0	0.9999999985350637	0.9999999975	0.9999999989999999
Italian	0.9999999988792778	0.9847434462706317	0.9999999985714286	0.9999999989999999	0.9526315053304037	1.0	0.9999999988792778	0.9999999985714286	0.9999999989999999
English	0.9999999986921219	0.9469129548928646	0.9999999975	0.9999999992307692	0.8744939168294271	1.0	0.9999999986921219	0.9999999975	0.9999999992307692
Slovenian	0.9906859882169843	0.9094694836683119	0.9523809521541949	0.9999999999295774	0.869819329504282	0.9473222373188406	0.9813719765652913	0.9047619045464852	0.9999999999295774
North_Sami	0.7320556972691219	0.60192096763533	0.6414141413817467	0.8153846153428007	0.5276644123134329	0.6736049024678588	0.4641113945903404	0.2828282828139986	0.6307692307368836
Armenian-Adap	0.9545936110996238	0.7818332984074048	0.8749999998177084	0.9999999998113207	0.6854391442724022	0.8666376320712538	0.9091872224045876	0.74999999984375	0.9999999998113207
Hindi	0.9999999998107828	0.9899471555639207	0.9999999997222222	0.9999999998333333	0.9610137939453125	1.0	0.9999999998107828	0.9999999997222222	0.9999999998333333
Dutch	0.9999999994747947	0.9727918789936919	0.9999999992857143	0.9999999995833333	0.9439946688138522	0.9949392661070212	0.9999999994747947	0.9999999992857143	0.9999999995833333
Buryat-Adap	0.9982182508415449	0.9833817566765641	0.9523809519274377	0.9999999995833333	0.9239765803019205	1.0	0.9964365021277216	0.9047619043310657	0.9999999995833333
Uyghur-Adap	0.7124366714494355	0.5315121953552553	0.6333333332981481	0.7950310558512402	0.4640389346881391	0.5978610394590073	0.4248733429567628	0.26666666665185185	0.5900621117645923
Russian	0.9999999994102392	0.9923848960876501	0.9999999992307692	0.9999999995	0.9815789794921874	1.0	0.9999999994102392	0.9999999992307692	0.9999999995
Danish	0.9999999994969181	0.892270533316063	0.9999999991666666	0.9999999996428571	0.768341353445342	0.9910287568063447	0.9999999994969181	0.9999999991666666	0.9999999996428571
Bulgarian	0.9999999977846967	0.9637007024288173	0.999999995	0.9999999988888888	0.9245613733927408	0.9947368621826171	0.9999999977846967	0.999999995	0.9999999988888888
Spanish	0.9999999991941303	0.9958280183247181	0.9999999988888888	0.9999999992857143	0.9842105320521763	1.0	0.9999999991941303	0.9999999988888888	0.9999999992857143
Hungarian	0.9773977831766824	0.6243387384402403	0.9230769228402367	0.9999999998360656	0.4923660651443854	0.7616067029641249	0.954795566559662	0.8461538459368836	0.9999999998360656
Catalan	0.9999999987018795	0.9715503738865716	0.9999999975	0.999999999090909	0.9239765514026989	1.0	0.9999999987018795	0.9999999975	0.999999999090909
Erzya-Adap	0.697513056626525	0.578143176626846	0.4427350427274746	0.94154818323947	0.39994971344832736	0.7514178824111409	0.3950261132704949	-0.11452991452795676	0.8830963664947378
Vietnamese	0.7842071051759117	0.5943649103679896	0.6878980891281593	0.8692810456948182	0.512718361679918	0.6716106669260676	0.5684142104142338	0.37579617832001294	0.7385620914549959
French	0.9999999997142216	0.9577276918735911	0.9999999995652173	0.9999999997727272	0.8808791789602726	0.9966406314931018	0.9999999997142216	0.9999999995652173	0.9999999997727272
Norwegian	0.9999999990853687	0.9871052752222346	0.9999999988888888	0.9999999991666666	0.9605262393043156	1.0	0.9999999990853687	0.9999999988888888	0.9999999991666666
Kurmanji-Adap	0.9454350451922346	0.786706924359823	0.8709677417950052	0.9906542055148921	0.7147856092944588	0.8629409003503544	0.8908700904816044	0.7419354837513007	0.9813084111232423
Cantonese-Adap	0.6595724737235755	0.4983379136633278	0.5648854961400851	0.7499999999464285	0.43648110904840487	0.5690644194627795	0.3191449475206255	0.12977099235650602	0.4999999999642857
Maltese	0.9999999993476805	0.9328805303338714	0.9999999983333333	0.9999999996153845	0.8441795010872075	0.9945553182968365	0.9999999993476805	0.9999999983333333	0.9999999996153845
Urdu	0.9999999984529405	0.9300489078930458	0.9999999966666667	0.9999999991666666	0.8338345118931362	0.9924812316894531	0.9999999984529405	0.9999999966666667	0.9999999991666666
Afrikaans	0.9922232117839664	0.8962233853907843	0.7999999984	0.9999999989999999	0.7951127006894066	0.977443604242234	0.9881964260777601	0.5999999988	0.9999999989999999
Tamil	0.5261675034082325	0.3664724786454214	0.4484536082243065	0.6195652173576323	0.30083141317246836	0.43837307159810124	0.05233500686814779	-0.10309278349984058	0.23913043476961246
Naija-Adap	0.9669027090173009	0.9712734646998112	0.8571428568367346	0.9999999996551724	0.9056262604578245	1.0	0.9338054183886281	0.7142857140306123	0.9999999996551724
Bambara-Adap	0.9999999999093151	0.8556738491282683	0.9999999998550726	0.9999999999310344	0.7886067468979779	0.9217336856617647	0.9999999999093151	0.9999999998550726	0.9999999999310344
Finnish	0.9251532009471307	0.7985157036505144	0.8474576269750071	0.9855072462339846	0.6764377117770672	0.9103332283874276	0.8503064020451565	0.6949152541195058	0.9710144926128965
Portuguese	0.9999999989300208	0.9544977930916693	0.9999999980000001	0.9999999993333333	0.8999999152289496	1.0	0.9999999989300208	0.9999999980000001	0.9999999993333333
Hebrew	0.9999999985666248	0.9422116172674933	0.9999999975	0.999999999090909	0.8559276696407434	1.0	0.9999999985666248	0.9999999975	0.999999999090909
Indonesian	0.9999999990849807	0.9913706358273826	0.9999999987499999	0.9999999991666666	0.9649122873942058	1.0	0.9999999990849807	0.9999999987499999	0.9999999991666666
Greek	0.9999999982767954	0.9197646283750187	0.999999995	0.999999999090909	0.8588694254557292	0.9750487150969328	0.9999999982767954	0.999999995	0.999999999090909
Latvian	0.8508482313432404	0.7094082138980293	0.7922077921563501	0.9018404907422183	0.6470332830640004	0.770980720865309	0.7016964627489726	0.5844155843776353	0.8036809815457864
Serbian	0.9999999994240157	0.9654688569715809	0.999999999090909	0.9999999996	0.9153478662450831	0.9961355782888985	0.9999999994240157	0.999999999090909	0.9999999996
Breton-Adap	0.9999999995631174	0.8654168918353186	0.9999999992307692	0.9999999996875	0.7277753813927914	0.9697037384289653	0.9999999995631174	0.9999999992307692	0.9999999996875
Croatian	0.9037499986518847	0.9225469655990618	0.0	0.9999999995	0.8877196417914496	0.9672515869140625	0.9037499986518847	0.0	0.9999999995
Faroese-Adap	0.9999999994759666	0.967064612141363	0.9999999992307692	0.9999999996	0.9228070294415509	0.9943471272786458	0.9999999994759666	0.9999999992307692	0.9999999996
Chinese	0.9918756435515766	0.8265548878815941	0.9709302325016901	0.9999999999421965	0.776112058829993	0.8775629614978903	0.9837512871655436	0.9418604650615197	0.9999999999421965
German	0.9999999983883271	0.9694276651382445	0.9999999975	0.9999999989999999	0.9221051788330078	1.0	0.9999999983883271	0.9999999975	0.9999999989999999
Ukrainian	0.9962499990238226	0.9477667932850974	0.9999999966666667	0.9999999995652173	0.9078948838370187	0.9830829075404576	0.9962499990238226	0.9999999966666667	0.9999999995652173
Japanese	0.999999999937427	0.8828594646261194	0.9999999999310344	0.9999999999431818	0.8318182434698548	0.9248805807094381	0.999999999937427	0.9999999999310344	0.9999999999431818
Czech	0.9999999990576387	0.9388376765781046	0.9999999983333333	0.999999999375	0.8947367350260416	0.9824562072753906	0.9999999990576387	0.9999999983333333	0.999999999375
Thai-Adap	0.9999999996383173	0.7065000277389717	0.9999999995238095	0.9999999997222222	0.5473684051890432	0.8619883596161265	0.9999999996383173	0.9999999995238095	0.9999999997222222
Persian	0.9999999992591602	0.9614088509877554	0.9999999975	0.9999999996	0.911579081217448	1.0	0.9999999992591602	0.9999999975	0.9999999996
Slovak	0.7471669933426685	0.6571812629205442	0.6598639455333426	0.8301886791930698	0.597928392165155	0.7235554392066178	0.49433398675287477	0.3197278911347124	0.6603773584490329
Basque	0.9999999986768359	0.9480419268431493	0.9999999966666667	0.9999999992307692	0.895516515661169	0.9890837492766203	0.9999999986768359	0.9999999966666667	0.9999999992307692
Amharic-Adap	0.9999999990438242	0.9070323949701643	0.9999999985714286	0.9999999992857143	0.8065015755447688	0.9772961934407552	0.9999999990438242	0.9999999985714286	0.9999999992857143
Polish	0.8934810550834666	0.7106216684665178	0.8194444443306328	0.9512195120791196	0.617441625926636	0.79772894299591	0.7869621102931806	0.6388888888001544	0.9024390242801904
Arabic	0.9999999995899859	0.9859973248448871	0.9999999994117647	0.9999999996551724	0.9524501405913254	1.0	0.9999999995899859	0.9999999994117647	0.9999999996551724
