Language	Type	Position	Memory	MedianEmpirical	MedianLower	MedianUpper	Level
Arabic	REAL_REAL	0	0.07371	0.07371	0.07371	0.07371	0.99902
Arabic	REAL_REAL	1	0.14741	0.14741	0.14741	0.14741	0.99902
Arabic	REAL_REAL	2	0.22112	0.22112	0.22112	0.22112	0.98828
Arabic	REAL_REAL	3	0.29482	0.29482	0.29482	0.29482	0.99902
Arabic	REAL_REAL	4	0.36853	0.36853	0.36853	0.36853	0.98828
Arabic	REAL_REAL	5	0.44223	0.44223	0.44223	0.44223	0.98828
Arabic	REAL_REAL	6	0.51594	0.51594	0.51594	0.51594	0.99902
Arabic	REAL_REAL	7	0.58964	0.58964	0.58964	0.58964	0.99902
Arabic	REAL_REAL	8	0.66335	0.66335	0.66335	0.66335	0.98828
Arabic	REAL_REAL	9	0.73705	0.73705	0.73705	0.73705	0.98828
Arabic	REAL_REAL	10	0.81076	0.81076	0.81076	0.81076	0.99902
Arabic	REAL_REAL	11	0.88446	0.88446	0.88446	0.88446	0.98828
Arabic	REAL_REAL	12	0.95817	0.95817	0.95817	0.95817	0.99902
Arabic	REAL_REAL	13	1.03188	1.03188	1.03188	1.03188	0.99902
Arabic	REAL_REAL	14	1.10558	1.10558	1.10558	1.10558	0.99902
Arabic	REAL_REAL	15	1.17929	1.17929	1.17929	1.17929	0.99902
Arabic	REAL_REAL	16	1.25299	1.25299	1.24604	1.25299	0.98828
Arabic	REAL_REAL	17	1.3267	1.29271	1.28289	1.2985	0.98828
Arabic	REAL_REAL	18	1.4004	1.32957	1.31974	1.33536	0.98828
Arabic	REAL_REAL	19	1.47411	1.36642	1.3566	1.37221	0.98828
Arabic	REAL_REAL	20	1.54781	1.40327	1.39345	1.40906	0.98828
Arabic	REAL_REAL	21	1.62152	1.44012	1.4303	1.44592	0.98828
Arabic	REAL_REAL	22	1.69522	1.47698	1.46715	1.48277	0.98828
Arabic	REAL_REAL	23	1.76893	1.51383	1.49807	1.51962	0.98828
Arabic	REAL_REAL	24	1.84263	1.53944	1.52264	1.54603	0.98828
Arabic	REAL_REAL	25	1.91634	1.56401	1.54721	1.5706	0.98828
Arabic	REAL_REAL	26	1.99004	1.58858	1.57177	1.59517	0.98828
Arabic	REAL_REAL	27	2.06375	1.61094	1.59083	1.61821	0.98828
Arabic	REAL_REAL	28	2.13746	1.62937	1.60925	1.63664	0.98828
Arabic	REAL_REAL	29	2.21116	1.64712	1.62487	1.65466	0.98828
Arabic	REAL_REAL	30	2.28487	1.66186	1.63907	1.6694	0.98828
Arabic	REAL_REAL	31	2.35857	1.67517	1.65133	1.68303	0.98828
Arabic	REAL_REAL	32	2.43228	1.68686	1.66184	1.69513	0.98828
Arabic	REAL_REAL	33	2.50598	1.69704	1.67088	1.70558	0.98828
Arabic	REAL_REAL	34	2.57969	1.70579	1.6787	1.71456	0.98828
Arabic	REAL_REAL	35	2.65339	1.71343	1.68532	1.72241	0.98828
Arabic	REAL_REAL	36	2.7271	1.71985	1.69101	1.72922	0.98828
Arabic	REAL_REAL	37	2.8008	1.72527	1.69586	1.73503	0.98828
Arabic	REAL_REAL	38	2.87451	1.72971	1.69882	1.73991	0.98828
Arabic	RANDOM_BY_TYPE	0	0.07371	0.07371	0.07371	0.07371	0.99951
Arabic	RANDOM_BY_TYPE	1	0.14741	0.14741	0.14741	0.14741	0.99951
Arabic	RANDOM_BY_TYPE	2	0.22112	0.22112	0.22112	0.22112	0.96143
Arabic	RANDOM_BY_TYPE	3	0.29482	0.29482	0.29482	0.29482	0.99951
Arabic	RANDOM_BY_TYPE	4	0.36853	0.36853	0.36853	0.36853	0.99951
Arabic	RANDOM_BY_TYPE	5	0.44223	0.44223	0.44223	0.44223	0.96143
Arabic	RANDOM_BY_TYPE	6	0.51594	0.51594	0.51594	0.51594	0.99951
