Language	Type	Memory	MI
Arabic	GROUND	2.60615873337	1.5449758
Arabic	GROUND	2.60615873337	1.5453649
Catalan	REAL_REAL	2.31128692627	1.6428423
Catalan	REAL_REAL	2.31128692627	1.6516025
Catalan	REAL_REAL	2.31128692627	1.6475974
Catalan	REAL_REAL	2.31128692627	1.6448957
Catalan	REAL_REAL	2.31128692627	1.6454619
Catalan	REAL_REAL	2.31128692627	1.6540507
Catalan	REAL_REAL	2.31128692627	1.6527672
Catalan	REAL_REAL	2.31128692627	1.648899
Catalan	REAL_REAL	2.31128692627	1.6479528
Catalan	RANDOM_BY_TYPE	2.31128692627	1.3266832
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2426827
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2898837
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2057469
Catalan	RANDOM_BY_TYPE	2.31128692627	1.3803682
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2750769
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2212104
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2266651
Catalan	RANDOM_BY_TYPE	2.31128692627	1.2288793
Catalan	RANDOM_BY_TYPE	2.31128692627	1.3232344
Catalan	RANDOM_BY_TYPE	2.31128692627	1.3513138
Catalan	GROUND	2.31128692627	1.5878828
Catalan	GROUND	2.31128692627	1.5827967
Catalan	GROUND	2.31128692627	1.5848601
Catalan	GROUND	2.31128692627	1.5890846
Catalan	GROUND	2.31128692627	1.5702951
Catalan	GROUND	2.31128692627	1.5864415
Catalan	GROUND	2.31128692627	1.5872964
Catalan	GROUND	2.31128692627	1.5962309
Catalan	GROUND	2.31128692627	1.5827554
Czech	REAL_REAL	2.05772566795	1.3343009
Czech	REAL_REAL	2.05772566795	1.35664
Czech	REAL_REAL	2.05772566795	1.3512956
Czech	REAL_REAL	2.05772566795	1.3619775
Czech	REAL_REAL	2.05772566795	1.3596599
Czech	REAL_REAL	2.05772566795	1.3584633
Czech	REAL_REAL	2.05772566795	1.3505584
Czech	REAL_REAL	2.05772566795	1.3560374
Czech	RANDOM_BY_TYPE	2.05772566795	1.2849252
Czech	RANDOM_BY_TYPE	2.05772566795	1.2348317
Czech	RANDOM_BY_TYPE	2.05772566795	1.251827
Czech	RANDOM_BY_TYPE	2.05772566795	1.2184904
Czech	RANDOM_BY_TYPE	2.05772566795	1.289999
Czech	RANDOM_BY_TYPE	2.05772566795	1.2335247
Czech	RANDOM_BY_TYPE	2.05772566795	1.2901719
Czech	RANDOM_BY_TYPE	2.05772566795	1.2451124
Czech	RANDOM_BY_TYPE	2.05772566795	1.3090099
Czech	RANDOM_BY_TYPE	2.05772566795	1.1677141
Czech	RANDOM_BY_TYPE	2.05772566795	1.2680585
Czech	RANDOM_BY_TYPE	2.05772566795	1.2083197
Czech	RANDOM_BY_TYPE	2.05772566795	1.2554806
Czech	RANDOM_BY_TYPE	2.05772566795	1.2369647
Czech	RANDOM_BY_TYPE	2.05772566795	1.2627944
Czech	RANDOM_BY_TYPE	2.05772566795	1.2854301
Czech	RANDOM_BY_TYPE	2.05772566795	1.2311472
Czech	RANDOM_BY_TYPE	2.05772566795	1.2935122
Czech	GROUND	2.05772566795	1.4214157
Czech	GROUND	2.05772566795	1.4135444
Czech	GROUND	2.05772566795	1.4300894
Czech	GROUND	2.05772566795	1.4195404
Czech	GROUND	2.05772566795	1.4224064
Dutch	REAL_REAL	1.47976851463	1.007837
Dutch	REAL_REAL	1.47976851463	1.0057827
Dutch	REAL_REAL	1.47976851463	0.99440485
Dutch	REAL_REAL	1.47976851463	0.98049796
Dutch	REAL_REAL	1.47976851463	0.9895418
Dutch	REAL_REAL	1.47976851463	0.9919273
Dutch	REAL_REAL	1.47976851463	1.0028067
Dutch	REAL_REAL	1.47976851463	0.99367887
Dutch	RANDOM_BY_TYPE	1.47976851463	0.91537035
Dutch	RANDOM_BY_TYPE	1.47976851463	0.82090753
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8706672
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9330723
Dutch	RANDOM_BY_TYPE	1.47976851463	0.88703775
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9798873
Dutch	RANDOM_BY_TYPE	1.47976851463	0.98184824
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8519577
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9276578
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8061269
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9089301
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9400843
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8602264
Dutch	RANDOM_BY_TYPE	1.47976851463	0.92002726
Dutch	RANDOM_BY_TYPE	1.47976851463	0.83724487
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8860583
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9099642
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8523545
Dutch	RANDOM_BY_TYPE	1.47976851463	0.91930974
Dutch	RANDOM_BY_TYPE	1.47976851463	0.94324094
Dutch	RANDOM_BY_TYPE	1.47976851463	0.88703126
Dutch	RANDOM_BY_TYPE	1.47976851463	0.84300965
Dutch	RANDOM_BY_TYPE	1.47976851463	0.96443766
Dutch	RANDOM_BY_TYPE	1.47976851463	0.87358505
Dutch	RANDOM_BY_TYPE	1.47976851463	0.8593848
Dutch	RANDOM_BY_TYPE	1.47976851463	0.9109168
Dutch	GROUND	1.47976851463	1.0438446
Dutch	GROUND	1.47976851463	1.0362581
Dutch	GROUND	1.47976851463	1.0409921
Dutch	GROUND	1.47976851463	1.0259928
Dutch	GROUND	1.47976851463	1.0376469
Dutch	GROUND	1.47976851463	1.0340861
Finnish	REAL_REAL	1.106107831	0.7250531
Finnish	REAL_REAL	1.106107831	0.72656405
Finnish	REAL_REAL	1.106107831	0.7297612
Finnish	REAL_REAL	1.106107831	0.7360105
Finnish	REAL_REAL	1.106107831	0.70166385
Finnish	REAL_REAL	1.106107831	0.729781
Finnish	REAL_REAL	1.106107831	0.7256398
Finnish	REAL_REAL	1.106107831	0.6902633
Finnish	REAL_REAL	1.106107831	0.7287174
Finnish	REAL_REAL	1.106107831	0.72685254
Finnish	REAL_REAL	1.106107831	0.7348636
Finnish	REAL_REAL	1.106107831	0.723289
Finnish	REAL_REAL	1.106107831	0.7085407
Finnish	REAL_REAL	1.106107831	0.72951007
Finnish	REAL_REAL	1.106107831	0.7399188
Finnish	REAL_REAL	1.106107831	0.73703617
Finnish	RANDOM_BY_TYPE	1.106107831	0.6335996
Finnish	RANDOM_BY_TYPE	1.106107831	0.63022774
Finnish	RANDOM_BY_TYPE	1.106107831	0.68871224
Finnish	RANDOM_BY_TYPE	1.106107831	0.6248519
Finnish	RANDOM_BY_TYPE	1.106107831	0.70733917
Finnish	RANDOM_BY_TYPE	1.106107831	0.58183825
Finnish	RANDOM_BY_TYPE	1.106107831	0.61123633
Finnish	RANDOM_BY_TYPE	1.106107831	0.6462763
Finnish	RANDOM_BY_TYPE	1.106107831	0.6950388
Finnish	RANDOM_BY_TYPE	1.106107831	0.5885706
Finnish	RANDOM_BY_TYPE	1.106107831	0.6651459
Finnish	RANDOM_BY_TYPE	1.106107831	0.6113127
Finnish	RANDOM_BY_TYPE	1.106107831	0.70565957
Finnish	RANDOM_BY_TYPE	1.106107831	0.6550615
Finnish	RANDOM_BY_TYPE	1.106107831	0.6383309
Finnish	RANDOM_BY_TYPE	1.106107831	0.6325362
Finnish	RANDOM_BY_TYPE	1.106107831	0.5853486
Finnish	RANDOM_BY_TYPE	1.106107831	0.64558434
Finnish	RANDOM_BY_TYPE	1.106107831	0.03331244
Finnish	RANDOM_BY_TYPE	1.106107831	0.16839181
Finnish	RANDOM_BY_TYPE	1.106107831	0.59962153
Finnish	RANDOM_BY_TYPE	1.106107831	0.67895746
Finnish	RANDOM_BY_TYPE	1.106107831	0.6230124
Finnish	RANDOM_BY_TYPE	1.106107831	0.6230668
Finnish	RANDOM_BY_TYPE	1.106107831	0.7339965
Finnish	RANDOM_BY_TYPE	1.106107831	0.5802831
Finnish	RANDOM_BY_TYPE	1.106107831	0.6074675
Finnish	RANDOM_BY_TYPE	1.106107831	0.66039586
Finnish	RANDOM_BY_TYPE	1.106107831	0.6566126
Finnish	RANDOM_BY_TYPE	1.106107831	0.6242187
Finnish	RANDOM_BY_TYPE	1.106107831	0.70452374
Finnish	RANDOM_BY_TYPE	1.106107831	0.64354354
Finnish	RANDOM_BY_TYPE	1.106107831	0.21792504
Finnish	RANDOM_BY_TYPE	1.106107831	0.61154634
Finnish	RANDOM_BY_TYPE	1.106107831	0.51632154
Finnish	RANDOM_BY_TYPE	1.106107831	0.6275801
Finnish	RANDOM_BY_TYPE	1.106107831	0.07312577
Finnish	RANDOM_BY_TYPE	1.106107831	0.58303005
Finnish	RANDOM_BY_TYPE	1.106107831	0.022673601
Finnish	RANDOM_BY_TYPE	1.106107831	0.61662346
Finnish	RANDOM_BY_TYPE	1.106107831	0.6836258
Finnish	RANDOM_BY_TYPE	1.106107831	0.61675555
Finnish	RANDOM_BY_TYPE	1.106107831	0.5599496
Finnish	RANDOM_BY_TYPE	1.106107831	0.62449664
Finnish	RANDOM_BY_TYPE	1.106107831	0.6960086
Finnish	RANDOM_BY_TYPE	1.106107831	0.67681277
Finnish	RANDOM_BY_TYPE	1.106107831	0.62965006
Finnish	RANDOM_BY_TYPE	1.106107831	0.6481384
Finnish	RANDOM_BY_TYPE	1.106107831	0.6498364
Finnish	RANDOM_BY_TYPE	1.106107831	0.07298401
Finnish	RANDOM_BY_TYPE	1.106107831	0.66738075
Finnish	RANDOM_BY_TYPE	1.106107831	0.6185091
Finnish	RANDOM_BY_TYPE	1.106107831	0.62470794
Finnish	RANDOM_BY_TYPE	1.106107831	0.66081166
Finnish	RANDOM_BY_TYPE	1.106107831	0.055029612
Finnish	RANDOM_BY_TYPE	1.106107831	0.6412778
Finnish	RANDOM_BY_TYPE	1.106107831	0.6290919
Finnish	RANDOM_BY_TYPE	1.106107831	0.6170024
Finnish	RANDOM_BY_TYPE	1.106107831	0.60949874
Finnish	RANDOM_BY_TYPE	1.106107831	0.06129814
Finnish	RANDOM_BY_TYPE	1.106107831	0.6598827
Finnish	RANDOM_BY_TYPE	1.106107831	0.649654
Finnish	RANDOM_BY_TYPE	1.106107831	0.6766647
Finnish	RANDOM_BY_TYPE	1.106107831	0.589196
Finnish	RANDOM_BY_TYPE	1.106107831	0.6070319
Finnish	RANDOM_BY_TYPE	1.106107831	0.65870404
Finnish	RANDOM_BY_TYPE	1.106107831	0.032628134
Finnish	RANDOM_BY_TYPE	1.106107831	0.6459546
Finnish	RANDOM_BY_TYPE	1.106107831	0.656896
Finnish	RANDOM_BY_TYPE	1.106107831	0.5795014
Finnish	RANDOM_BY_TYPE	1.106107831	0.6293392
Finnish	RANDOM_BY_TYPE	1.106107831	0.6235175
Finnish	RANDOM_BY_TYPE	1.106107831	0.555018
Finnish	RANDOM_BY_TYPE	1.106107831	0.60706145
Finnish	RANDOM_BY_TYPE	1.106107831	0.10649977
Finnish	RANDOM_BY_TYPE	1.106107831	0.6279134
Finnish	RANDOM_BY_TYPE	1.106107831	0.69979
Finnish	RANDOM_BY_TYPE	1.106107831	0.58489776
Finnish	RANDOM_BY_TYPE	1.106107831	0.60184526
Finnish	RANDOM_BY_TYPE	1.106107831	0.6698258
Finnish	RANDOM_BY_TYPE	1.106107831	0.6248353
Finnish	RANDOM_BY_TYPE	1.106107831	0.008540172
Finnish	RANDOM_BY_TYPE	1.106107831	0.6269002
Finnish	RANDOM_BY_TYPE	1.106107831	0.65423024
Finnish	GROUND	1.106107831	0.68995976
Finnish	GROUND	1.106107831	0.69094867
Finnish	GROUND	1.106107831	0.6979313
Finnish	GROUND	1.106107831	0.68055975
Finnish	GROUND	1.106107831	0.67664534
Finnish	GROUND	1.106107831	0.68717486
Finnish	GROUND	1.106107831	0.69546765
Finnish	GROUND	1.106107831	0.66724
Finnish	GROUND	1.106107831	0.6475513
Finnish	GROUND	1.106107831	0.6894445
Finnish	GROUND	1.106107831	0.6835764
Finnish	GROUND	1.106107831	0.68928635
Finnish	GROUND	1.106107831	0.69134563
Finnish	GROUND	1.106107831	0.68438256
Finnish	GROUND	1.106107831	0.6789008
Finnish	GROUND	1.106107831	0.6803368
Finnish	GROUND	1.106107831	0.67236453
Finnish	GROUND	1.106107831	0.69163287
Finnish	GROUND	1.106107831	0.6599194
Finnish	GROUND	1.106107831	0.6901141
Finnish	GROUND	1.106107831	0.6978973
Finnish	GROUND	1.106107831	0.67860025
Finnish	GROUND	1.106107831	0.67802066
Finnish	GROUND	1.106107831	0.68926245
Finnish	GROUND	1.106107831	0.6892835
Finnish	GROUND	1.106107831	0.6909564
Finnish	GROUND	1.106107831	0.695931
Finnish	GROUND	1.106107831	0.68656784
Finnish	GROUND	1.106107831	0.68076867
Finnish	GROUND	1.106107831	0.67495114
Finnish	GROUND	1.106107831	0.66856676
Finnish	GROUND	1.106107831	0.69096136
Finnish	GROUND	1.106107831	0.67368436
Finnish	GROUND	1.106107831	0.69363594
Finnish	GROUND	1.106107831	0.685972
Finnish	GROUND	1.106107831	0.68518007
Finnish	GROUND	1.106107831	0.6713103
