Language	CoarseDependency	BranchingEntropy
Arabic	flat	0.182405423798
Arabic	cc	0.686121743242
Arabic	orphan	1.14288561534e-09
Arabic	ccomp	0.100045950283
Arabic	csubj	0.0469573726649
Arabic	conj	0.0131462390927
Arabic	acl	0.0149996956209
Arabic	mark	0.112797790308
Arabic	advcl	0.334833840299
Arabic	aux	0.0678265952789
Arabic	parataxis	0.00768609708763
Arabic	xcomp	0.0639663603977
Arabic	nsubj	0.62651605404
Arabic	nummod	0.685458455541
Arabic	advmod	0.523392303078
Arabic	punct	0.535439991546
Arabic	compound	3.96665547695e-10
Arabic	case	0.0219284948354
Arabic	cop	0.0185076533214
Arabic	obl	0.259562103523
Arabic	obj	0.114918772423
Arabic	dep	0.59957178419
Arabic	appos	0.112944579092
Arabic	det	0.382619114583
Arabic	nmod	0.127424166075
Arabic	amod	0.0840214544924
Arabic	iobj	0.0590172209323
Arabic	fixed	3.31905427751e-10
Catalan	cc	0.107115686937
Catalan	orphan	1.82546576025e-08
Catalan	ccomp	0.373446181037
Catalan	csubj	0.547094171586
Catalan	conj	2.0340978467e-11
Catalan	acl	0.0232504662855
Catalan	mark	0.035797426651
Catalan	advcl	0.423899255811
Catalan	aux	0.0633609685722
Catalan	parataxis	0.691728491964
Catalan	flat	1.85389999935e-11
Catalan	nsubj	0.451803941278
Catalan	nummod	0.511971065875
Catalan	advmod	0.637045768011
Catalan	punct	0.674290243093
Catalan	compound	0.0123588914275
Catalan	case	0.0912898637025
Catalan	cop	0.19137783375
Catalan	obl	0.610363002412
Catalan	obj	0.610309225841
Catalan	dep	0.469220348558
Catalan	appos	0.0138929175136
Catalan	det	0.0794242898896
Catalan	xcomp	0.197649496078
Catalan	nmod	0.248447576738
Catalan	amod	0.523107781539
Catalan	iobj	0.692973233803
Catalan	expl	0.121277192053
Catalan	fixed	3.21962104021e-11
Czech	cc	0.137077294831
Czech	orphan	4.75322356879e-11
Czech	ccomp	0.510190358884
Czech	csubj	0.276106141262
Czech	conj	3.09761458892e-12
Czech	acl	0.0360638386674
Czech	vocative	0.675976368055
Czech	mark	0.130396496745
Czech	discourse	0.389864487299
Czech	advcl	0.634967697697
Czech	aux	0.356422315326
Czech	parataxis	0.632471243254
Czech	flat	0.406368159663
Czech	nsubj	0.634335155103
Czech	nummod	0.615041186018
Czech	advmod	0.472794905621
Czech	punct	0.687354151951
Czech	compound	0.565009831932
Czech	case	0.0051568689918
Czech	cop	0.421554377666
Czech	obl	0.680411092468
Czech	obj	0.622576898012
Czech	dep	0.381809895562
Czech	appos	0.0185529135115
Czech	det	0.107372938804
Czech	xcomp	0.270173618342
Czech	nmod	0.266240303576
Czech	amod	0.273364523476
Czech	iobj	0.688017566195
Czech	expl	0.505190188083
Czech	fixed	4.3103409051e-11
Dutch	cc	0.102153460806
Dutch	ccomp	0.279191274099
Dutch	csubj	0.352395366551
Dutch	conj	0.00873928757471
Dutch	acl	0.304366819778
Dutch	mark	0.0928367707557
Dutch	advcl	0.582178204593
Dutch	aux	0.334910976511
Dutch	parataxis	0.433768700589
Dutch	flat	0.0178510879474
Dutch	nsubj	0.504447043545
Dutch	nummod	0.431555052378
Dutch	advmod	0.539507051687
Dutch	punct	0.664248789042
Dutch	compound	0.665729103005
Dutch	case	0.0925180581167
Dutch	cop	0.677698315019
Dutch	obl	0.6906373052
Dutch	obj	0.67752086459
Dutch	appos	0.0195380157425
Dutch	det	0.00440452957876
Dutch	xcomp	0.639602113424
Dutch	nmod	0.511913719347
Dutch	amod	0.155189980598
Dutch	iobj	0.635346799466
Dutch	expl	0.564840898034
Dutch	fixed	0.0196981873177
Finnish	flat	6.6208468529e-11
Finnish	cc	0.0212332316633
Finnish	orphan	0.684616277803
Finnish	reparandum	1.38707934521e-08
Finnish	ccomp	0.250822060181
Finnish	csubj	0.416746905915
Finnish	conj	0.0523797050027
Finnish	acl	0.692937316396
Finnish	vocative	0.692493822985
Finnish	mark	0.0533308334169
Finnish	discourse	0.644759944699
Finnish	advcl	0.592018855769
Finnish	aux	0.098715841407
Finnish	parataxis	0.0338005448318
Finnish	xcomp	0.167860377117
Finnish	nsubj	0.448251818794
Finnish	nummod	0.508550207087
Finnish	advmod	0.641928898008
Finnish	punct	0.542536852279
Finnish	compound	0.557368300895
Finnish	goeswith	0.41011631855
Finnish	case	0.386923138855
Finnish	cop	0.465136847406
Finnish	obl	0.67367822609
Finnish	obj	0.612596639008
Finnish	dep	0.638224509319
Finnish	appos	2.11273272081e-10
Finnish	det	0.0422546898408
Finnish	nmod	0.659813669653
Finnish	amod	0.0402434201632
Finnish	expl	0.14974773651
Finnish	fixed	2.70307808684e-10
French	flat	0.00377433687184
French	cc	0.0287395857378
French	orphan	0.0549721511654
French	reparandum	3.05237011394e-08
French	ccomp	0.152393320723
French	csubj	0.693088105673
French	conj	0.0287103805553
French	acl	0.180421573023
French	vocative	0.372763353839
French	mark	0.0149398685113
French	discourse	0.460731677031
French	advcl	0.561162477697
French	dislocated	0.500402423689
French	aux	0.00597452755692
French	parataxis	0.318525158294
French	xcomp	0.0245551907497
French	nsubj	0.18384874132
French	nummod	0.557411738049
French	advmod	0.636313427368
French	punct	0.609499070811
French	compound	0.679778200725
French	goeswith	0.264052052622
French	case	0.00338408210939
French	cop	0.116772934682
French	obl	0.445941425634
French	obj	0.446809217479
French	dep	0.674351057872
French	appos	0.109501308226
French	det	0.00533073957875
French	nmod	0.0679962470189
French	amod	0.604794747464
French	iobj	0.343106358865
French	expl	0.128503849304
French	fixed	0.00799997941832
German	flat	4.04421044341e-11
German	cc	0.0992717582272
German	ccomp	0.51686386988
German	csubj	0.581115838052
German	conj	2.53992078708e-11
German	acl	0.200247573748
German	mark	0.198814163867
German	advcl	0.605031026259
German	aux	0.63595704816
German	parataxis	0.230433635233
German	xcomp	0.551220030983
German	nsubj	0.519743487866
German	nummod	0.148137595629
German	advmod	0.519835632874
German	punct	0.587636266107
German	compound	0.683722728473
German	case	0.0803728618615
German	cop	0.528346117355
German	obl	0.670427522779
German	obj	0.689512913417
German	dep	0.686995035983
German	appos	0.0629798495651
German	det	0.0238157084954
German	nmod	0.500039237082
German	amod	0.106641413014
German	iobj	0.679844029489
German	expl	0.686029415169
German	fixed	1.71665598073e-09
Hindi	cc	0.0124798240143
Hindi	conj	4.21515222815e-11
Hindi	acl	0.662813656429
Hindi	vocative	0.410116320117
Hindi	mark	0.691175614402
Hindi	advcl	0.245494117356
Hindi	dislocated	0.284198810848
Hindi	aux	0.00780037499205
Hindi	xcomp	0.056937224503
Hindi	nsubj	0.0752890441261
Hindi	nummod	0.0364223312165
Hindi	advmod	0.0839351198869
Hindi	punct	0.464533103918
Hindi	compound	0.0399903042449
Hindi	case	0.0812046865537
Hindi	cop	0.0028892935754
Hindi	obl	0.0161131559591
Hindi	obj	0.566944960322
Hindi	dep	0.424905631527
Hindi	det	4.34236408019e-11
Hindi	nmod	0.109788388063
Hindi	amod	0.122398812591
Hindi	iobj	1.20413236755e-10
Norwegian	flat	2.5411533508e-11
Norwegian	cc	0.00617749069479
Norwegian	orphan	6.41468326753e-10
Norwegian	reparandum	0.174578023086
Norwegian	ccomp	0.035434570482
Norwegian	csubj	0.345840372408
Norwegian	conj	1.35990221924e-11
Norwegian	acl	0.053277634676
Norwegian	mark	0.010080360439
Norwegian	discourse	0.552664622507
Norwegian	advcl	0.467889592527
Norwegian	dislocated	0.0334572780796
