"","CoarseDependency","DistanceWeight_b","DistanceWeight_n","DistanceWeight_d","Distance_Mean_NoPunct"
"1","advmod",-0.404269218014706,1.17178223373529,-3.44564398151961,-0.495982783735849
"2","amod",-3.64655353839706,-1.24825314222059,-1.70362761438882,-2.22169922613208
"3","appos",0.0733036830009355,0.374197107460638,0.590764102037234,0.88917086078125
"4","aux",-0.275711229283824,-2.0721146775338,-3.29296977555102,-1.63510514980392
"5","case",0.00531242002938462,0.00409505995977273,0.0485694500070455,0.451354593047826
"6","ccomp",0.992987740170313,0.506221918766326,2.79381417265306,1.27290465372549
"7","compound",-1.66312901915022,-0.297980603130198,-1.29745243182473,-2.16587790281111
"8","conj",3.41312977784091,1.5852665042468,4.232961081,2.14766533764706
"9","cop",0.0179945495,0.007844825885,0.0278617819205,0.1331371584
"10","csubj",0.0730088952033333,0.0696067244789362,0.902757784759574,0.972599448163265
"11","dep",0.115271155980741,0.109607653713333,-0.00628695241410256,0.417912154125
"12","det",-0.153028444479118,-1.89455550266157,-2.05439803931373,-0.706437379056604
"13","flat",-1.35689469726407,-0.321546209080111,-0.550915622731111,-2.2889951437234
"14","iobj",0.122405629423833,-0.0157135278043478,-0.529335322836522,-0.866757883916667
"15","lifted_case",0.247139501974265,0.284287771768627,0.297838738742549,0.726518978787547
"16","lifted_cc",0.05016698105225,0.00620454849367647,0.180841098462843,1.32534200417547
"17","lifted_cop",0.000684260404411763,0.015489431060625,0.109032520834208,0.662794683261
"18","lifted_mark",0.270579313238,0.118784535560784,0.410892658938235,1.47288254224528
"19","nmod",1.19974183655882,0.521953886009804,0.637103828717647,-0.428809723037736
"20","nsubj",-2.05300023925,-0.683671244921569,-1.17752739440196,0.185498913245283
"21","nummod",-0.766965661563235,-0.407985765943137,-0.845549627132353,-1.47692671283019
"22","obj",-2.04030046129412,-1.13647856788235,-0.388149063238235,-0.712489368679245
"23","obl",2.23492720321765,1.09404931662676,0.773839949607843,0.265504797245283
"24","punct",0,0,0,-0.00357115611156863
"25","xcomp",-0.00715418135906252,0.231898821291837,0.941948554234694,-0.02957489976
"26","acl",1.7516685477875,1.20436677499796,2.49334888010204,1.26516421396078
"27","advcl",1.38632465616563,0.873298487727551,3.26017118989796,1.85218978764706
"28","cc",0.0281637133072727,0.029707587100625,-0.0031731931165625,0.872357008625
"29","fixed",-1.35802258794569,-0.613942333640915,-0.922984874159146,-2.28124472237209
"30","mark",0.00594706262885556,0.0035909938390625,0.0145085945050588,0.4051359778
"31","orphan",0.095327979228,0.0339224293544118,0.0470571769441176,1.1856691105
"32","parataxis",0.720793170030556,0.50553692277875,1.21654770153636,2.09278565703333
"33","discourse",0.190646571097619,0.145910719308878,-0.882796722136487,0.945211713947368
"34","vocative",-0.167861188028591,0.0280022294877027,-0.176057625140568,1.12275789776316
"35","expl",0.917717539832353,-0.847372812334783,-1.60159116657292,-1.21382079391304
"36","goeswith",-0.0201742666979231,-0.0193651745199444,-0.00739863515972222,-0.902314317263158
"37","clf",0.81162355,0.13811852,-0.029680103,0.52572274
"38","dislocated",0.128748492243231,0.0581822713894737,0.0522637649563158,1.3190724395
"39","list",0.0080151783125,0.00441933388779412,0.0174944483352941,0.662452583882353
"40","reparandum",0.00112372611285714,0.000353688971363637,-0.00368226328,0.16059301836
