Script	Type	Run	InterpPoint	Memory	MI
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	17	2.08083891869	2.08083891869
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	18	2.19644093513	2.19644093513
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	19	2.31204319	2.31204319
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	20	2.42764544487	2.42764544487
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	21	2.54324746132	2.54324746132
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	22	2.65884971619	2.65884971619
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	23	2.77445173264	2.77445173264
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	24	2.8900539875	2.8900539875
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	25	3.00565624237	3.00565624237
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	26	3.12125825882	3.12125825882
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	27	3.23686051369	3.19198608398
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	28	3.35246253014	3.24978733063
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	29	3.468064785	3.30758833885
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	30	3.58366703987	3.36538934708
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	31	3.69926905632	3.42319059372
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	32	3.81487131119	3.48099160194
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	33	3.93047332764	3.52143907547
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	34	4.04607582092	3.5599732399
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	35	4.16167783737	3.59732222557
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	36	4.27727985382	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	37	4.39288187027	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1060918	38	4.50848436356	3.61188459396
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	0	0.11560215801	0.115602165461
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	1	0.23120431602	0.231204330921
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	2	0.346806466579	0.346806466579
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	3	0.46240863204	0.462408661842
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	4	0.578010797501	0.578010797501
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	5	0.693612933159	0.693612933159
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	6	0.809215128422	0.809215128422
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	7	0.92481726408	0.924817323685
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	8	1.04041945934	1.04041945934
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	9	1.156021595	1.156021595
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	10	1.27162373066	1.27162373066
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	11	1.38722586632	1.38722586632
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	12	1.50282812119	1.50282812119
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	13	1.61843025684	1.61843025684
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	14	1.7340323925	1.7340323925
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	15	1.84963452816	1.84963464737
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	16	1.96523666382	1.96523654461
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	17	2.08083891869	2.08083891869
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	18	2.19644093513	2.19644093513
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	19	2.31204319	2.31204319
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	20	2.42764544487	2.42764544487
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	21	2.54324746132	2.54324746132
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	22	2.65884971619	2.65884971619
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	23	2.77445173264	2.77445173264
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	24	2.8900539875	2.8900539875
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	25	3.00565624237	3.00565624237
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	26	3.12125825882	3.12125825882
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	27	3.23686051369	3.19184017181
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	28	3.35246253014	3.24964094162
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	29	3.468064785	3.30744218826
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	30	3.58366703987	3.36524343491
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	31	3.69926905632	3.42304420471
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	32	3.81487131119	3.48084545135
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	33	3.93047332764	3.52166080475
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	34	4.04607582092	3.56019496918
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	35	4.16167783737	3.59753227234
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	36	4.27727985382	3.61188483238
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	37	4.39288187027	3.61188483238
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1524879	38	4.50848436356	3.61188483238
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	0	0.11560215801	0.115602165461
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	1	0.23120431602	0.231204330921
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	2	0.346806466579	0.346806466579
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	3	0.46240863204	0.462408661842
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	4	0.578010797501	0.578010797501
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	5	0.693612933159	0.693612933159
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	6	0.809215128422	0.809215128422
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	7	0.92481726408	0.924817323685
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	8	1.04041945934	1.04041945934
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	9	1.156021595	1.156021595
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	10	1.27162373066	1.27162373066
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	11	1.38722586632	1.38722586632
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	12	1.50282812119	1.50282812119
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	13	1.61843025684	1.61843025684
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	14	1.7340323925	1.7340323925
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	15	1.84963452816	1.84963464737
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	16	1.96523666382	1.96523654461
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	17	2.08083891869	2.08083891869
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	18	2.19644093513	2.19644093513
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	19	2.31204319	2.31204319
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	20	2.42764544487	2.42764544487
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	21	2.54324746132	2.54324746132
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	22	2.65884971619	2.65884971619
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	23	2.77445173264	2.77445173264
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	24	2.8900539875	2.8900539875
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	25	3.00565624237	3.00565624237
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	26	3.12125825882	3.12125825882
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	27	3.23686051369	3.19184017181
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	28	3.35246253014	3.24964094162
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	29	3.468064785	3.30744218826
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	30	3.58366703987	3.36524343491
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	31	3.69926905632	3.42304420471
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	32	3.81487131119	3.48084545135
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	33	3.93047332764	3.52166080475
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	34	4.04607582092	3.56019496918
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	35	4.16167783737	3.59753227234
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	36	4.27727985382	3.61188483238
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	37	4.39288187027	3.61188483238
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	1527158	38	4.50848436356	3.61188483238
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	0	0.11560215801	0.11560215801
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	1	0.23120431602	0.23120431602
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	2	0.346806466579	0.346806466579
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	3	0.46240863204	0.46240863204
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	4	0.578010797501	0.578010797501
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	5	0.693612933159	0.693612933159
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	6	0.809215128422	0.809215128422
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	7	0.92481726408	0.92481726408
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	8	1.04041945934	1.04041945934
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	9	1.156021595	1.156021595
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	10	1.27162373066	1.27162373066
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	11	1.38722586632	1.38722586632
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	12	1.50282812119	1.50282812119
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	13	1.61843025684	1.61843025684
forWords_Sesotho_RandomOrder_Normalized.py	OPTIM	2466404	14	1.7340323925	1.7340323925
