Script	Run	Model	AUC
forWords_Sesotho_RandomOrder_Normalized.py	9760581	2880106	35.55171061307696
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	2421712	695786	21.09812508028235
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.38981352064186
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	2411013	5784093	21.09276794606432
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	569327	4036591	21.09184888080444
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	2411013	2024051	21.09276794606432
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.37568725932232
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.339053651793286
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.76798129573503
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.301484686686287
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.5729062971762
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	REAL	REAL	21.085923236593636
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.88360225049734
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.39044680068958
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.82793260463981
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.6806200239655
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.7532972386787
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.312414388305044
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.366528741577532
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.73385018778232
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.7549454737511
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	2780871	3838336	21.093014573660295
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.332861983548028
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	REAL	REAL	21.085923236593636
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.8647898686844
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	9768906	9104808	21.101849886760412
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.2607667352732
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.29110392506565
forWords_Sesotho_RandomOrder_Normalized.py	REAL	REAL	35.604760048692086
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.170257066608915
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	2247460	786535	21.096696890200903
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.310189737989965
forWords_Sesotho_RandomOrder_Normalized.py	9760581	2880106	35.55171061307696
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.72043225694833
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.452244026655865
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.26922338309126
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	RANDOM	RANDOM	21.374331008623514
forWords_Sesotho_RandomOrder_Normalized.py	RANDOM	RANDOM	35.59576012984878
forWords_Sesotho_RandomOrder_FormsWordsGraphemes.py	REAL	REAL	21.085923236593636
