Script	Model
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	3208255
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	545331
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	564859
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	6712256
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	6952377
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	7515783
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	8192725
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	8893662
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	972057
forWords_Japanese_OptimizeOrder_FormsPhonemesFull_FullData.py	9797975
forWords_Japanese_OptimizeOrder_FormsPhonemes_FullData.py	9256237
forWords_Japanese_OptimizeOrder_FormsWordsGraphemes_FullData.py	5929082
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	1480725
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	2725396
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	7109642
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	8377868
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	894462
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData.py	9819177
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_Heldout.py	3879702
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_Heldout.py	4989615
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_Heldout.py	7707859
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_Heldout.py	8971225
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	2763342
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	3635947
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FormsPhonemesFull_FullData_HeldoutClip.py	5386739
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData.py	1999200
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData.py	6438552
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData.py	7339385
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData.py	84860
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData.py	8564647
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData.py	9309716
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData_Heldout.py	1584276
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData_Heldout.py	2596739
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData_Heldout.py	6131912
forWords_Japanese_OptimizeOrder_MorphemeGrammar_FullData_Heldout.py	7295055
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	1509445
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	1735475
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	1740723
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	1768735
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	227056
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	2500826
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	2825034
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	3091488
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	3779880
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4158233
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4517968
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4791314
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4872166
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	4912034
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	5138376
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	5261733
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	581408
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	6339107
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	6595322
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	7669547
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	8363
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	9063581
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData.py	9763692
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	3331118
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	3347740
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	4184286
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	4817851
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	587547
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	6160176
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	744456
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_ForLocality.py	8606657
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_Heldout.py	1726573
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_Heldout.py	2112840
forWords_Japanese_OptimizeOrder_MorphemeGrammar_Normalized_FullData_Heldout.py	6345328
