Script	Run	Model	Distance	Surprisal	MI	Memory
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8903142	RANDOM	8	2.563969806974483	0.0	3.2706124716777314
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8903142	RANDOM	9	2.563969806974483	0.0	3.2706124716777314
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8903142	RANDOM	10	2.563969806974483	0.0	3.2706124716777314
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	0	5.613090635743616	2.8501500281740046	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	1	2.762940607569611	0.15845732965884807	2.8501500281740046
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	2	2.604483277910763	0.037634217489546096	3.167064687491701
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	3	2.566849060421217	0.0027250606631126217	3.279967339960339
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	4	2.5641239997581042	0.00016259692300879536	3.2908675826127896
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	5	2.5639614028350954	2.9895073775598746e-05	3.2916805672278335
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	6	2.56393150776132	0.0	3.291859937670487
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	7	2.56393150776132	0.0	3.291859937670487
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	8	2.56393150776132	0.0	3.291859937670487
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	9	2.56393150776132	0.0	3.291859937670487
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8620881	RANDOM	10	2.56393150776132	0.0	3.291859937670487
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	0	3.782131479060978	1.8628700796215727	0
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	1	1.9192613994394054	0.33647986187486545	1.8628700796215727
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	2	1.58278153756454	0.2885104605524187	2.5358298033713034
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	3	1.2942710770121213	0.20721298405690702	3.401361185028559
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	4	1.0870580929552143	0.09875056904127844	4.230213121256187
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	5	0.9883075239139358	0.04087529143747182	4.723965966462579
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	6	0.947432232476464	0.017783870752833275	4.96921771508741
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	7	0.9296483617236307	0.0077823955152506175	5.093704810357243
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	8	0.9218659662083801	0.0035654572390266814	5.155963974479248
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	9	0.9183005089693534	0.0010479511928055407	5.188053089630488
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	2418867	RANDOM	10	0.9172525577765479	0.00025541928083794296	5.198532601558544
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	0	5.613090635743616	2.848896124863451	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	1	2.7641945108801647	0.16187215748033434	2.848896124863451
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	2	2.6023223533998303	0.03535645253532982	3.1726404398241197
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	3	2.5669659008645005	0.0027930614276612253	3.278709797430109
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	4	2.5641728394368393	0.00016808673386847772	3.289882043140754
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	5	2.564004752702971	0.0	3.2907224768100964
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	6	2.564004752702971	0.0	3.2907224768100964
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	7	2.564004752702971	0.0	3.2907224768100964
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	8	2.564004752702971	0.0	3.2907224768100964
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	9	2.564004752702971	0.0	3.2907224768100964
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	8059205	RANDOM	10	2.564004752702971	0.0	3.2907224768100964
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	0	3.782131479060978	1.8755008665081492	0
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	1	1.906630612552829	0.3693448028220816	1.8755008665081492
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	2	1.5372858097307474	0.26365461944645485	2.6141904721523126
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	3	1.2736311902842925	0.19413851585639086	3.405154330491677
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	4	1.0794926744279016	0.09178155190690263	4.181708393917241
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	5	0.987711122520999	0.03840520026047212	4.640616153451754
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	6	0.9493059222605269	0.016356423071239856	4.8710473550145865
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	7	0.932949499189287	0.008436870592864354	4.985542316513266
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	8	0.9245126285964227	0.0046415981264325	5.053037281256181
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	9	0.9198710304699902	0.0017708359819966768	5.094811664394073
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	5124485	564859	10	0.9181001944879935	0.000634937312119721	5.11252002421404
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	0	5.613090635743616	2.875865489035617	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	1	2.7372251467079987	0.14363363570056276	2.875865489035617
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	2	2.593591511007436	0.027874900146583226	3.1631327604367425
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	3	2.5657166108608527	0.001653089737694735	3.246757460876492
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	4	2.564063521123158	0.00017204278644689097	3.253369819827271
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	5	2.563891478336711	0.0	3.2542300337595056
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	6	2.563891478336711	0.0	3.2542300337595056
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	7	2.563891478336711	0.0	3.2542300337595056
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	8	2.563891478336711	0.0	3.2542300337595056
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	9	2.563891478336711	0.0	3.2542300337595056
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5525652	REAL	10	2.563891478336711	0.0	3.2542300337595056
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	0	5.613090635743616	2.841916920616249	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	1	2.7711737151273668	0.16498808614079108	2.841916920616249
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	2	2.6061856289865757	0.039016685776776416	3.171893092897831
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	3	2.5671689432097993	0.0029877168767220574	3.2889431502281603
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	4	2.564181226333077	0.00026134188974324957	3.3008940177350485
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	5	2.563919884443334	2.9895073775598746e-05	3.302200727183765
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	6	2.5638899893695584	0.0	3.3023800976264184
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	7	2.5638899893695584	0.0	3.3023800976264184
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	8	2.5638899893695584	0.0	3.3023800976264184
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	9	2.5638899893695584	0.0	3.3023800976264184
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	867170	RANDOM	10	2.5638899893695584	0.0	3.3023800976264184
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	0	5.613090635743616	2.8416788211817208	0
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	1	2.771411814561895	0.15756951118407603	2.8416788211817208
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	2	2.613842303377819	0.04710780465289144	3.156817843549873
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	3	2.5667344987249274	0.0025164976705953634	3.298141257508547
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	4	2.564218001054332	0.00028092382171651664	3.3082072481909286
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	5	2.5639370772326155	0.0	3.309611867299511
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	6	2.5639370772326155	0.0	3.309611867299511
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	7	2.5639370772326155	0.0	3.309611867299511
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	8	2.5639370772326155	0.0	3.309611867299511
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	9	2.5639370772326155	0.0	3.309611867299511
forWords_Japanese_RandomOrder_Normalized_FullData_suru.py	5788304	RANDOM	10	2.5639370772326155	0.0	3.309611867299511
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	0	3.782131479060978	1.8699951757402284	0
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	1	1.9121363033207497	0.357942367923864	1.8699951757402284
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	2	1.5541939353968857	0.2719325665758936	2.5858799115879565
forWords_Japanese_RandomOrder_FormsPhonemesFull_FullData_suru.py	7386598	RANDOM	3	1.282261368820992	0.20003585826033965	3.4016776113156375
