Script	Run	Model	Accuracy_Pairs	Accuracy_Full	Accuracy_Pairs_Types	Accuracy_Full_Types
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1000887	RANDOM	0.5372443822408833	0.5535033004299643	0.48832144198272626	0.4726052471018914
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1008540	2411013	0.9814944405567219	0.9794707200387573	0.9710101389410439	0.9670530811470409
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1065967	1738749	0.9926522043386984	0.9892811724096167	0.9876830642132933	0.9814521049420378
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1107646	RANDOM	0.46679884923411863	0.17834433476654757	0.5178370259106271	0.23343502135448443
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1126763	RANDOM	0.19049840603374543	0.018651971174226366	0.20713481036425085	0.025991458206223308
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1127252	4663676	0.9926910815644195	0.9892811724096167	0.9877581674802854	0.9814521049420378
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1168025	2421712	0.9854987948060027	0.9795312783867256	0.9772437101013894	0.9671751067724222
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1185063	7726157	0.9889977451209082	0.9897050808453945	0.9821254224558769	0.9823062843197071
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	120200	RANDOM	0.20165616981572196	0.03603221704111912	0.22253098009763425	0.050884685784014644
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1271527	2780871	0.9850711453230697	0.9789862532550112	0.9764175741644762	0.9660768761439903
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1326044	6285113	0.9928077132415831	0.9894628474535214	0.9879834772812617	0.9818181818181818
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1362039	5811702	0.9857320581603297	0.9795312783867256	0.9776943297033421	0.9671751067724222
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1441423	RANDOM	0.43453075188554546	0.15418155392720886	0.4748028539241457	0.20219646125686394
forWords_Sesotho_EvaluateWeights_Prefixes_ByType.py	1455597	732837	0.9926522043386984	0.9892811724096167	0.9876830642132933	0.9814521049420378
