999 36.21993308634825
36.19649344945341 36.19822100177034 36.19822100177034 36.19822100177034 36.21964029822067 36.21964029822067 36.21964029822067 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21965442600663 36.21993308634825 36.21993308634825
Namespace(alpha=0.0, cutoff=12, delta=1.0, gamma=1, idForProcess=2813489, language='Sesotho_Acqdiv', model=None)
rv 0
rc 2
p/ 4
c 6
nt 8
mi 10
ap 12
m. 14
cl 16
c/ 18
p 20
ps 22
cp 24
t^ 26
m^ 28
wh 30
lc 32
rl 34
