Language	Estimator	Model	Distance	Surprisal	Script
Czech	Heldout	GROUND	2	5.996617526419817	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	GROUND	3	6.121294990189623	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	GROUND	4	6.258947426849279	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	GROUND	5	6.400892743046953	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	GROUND	6	6.544669476650304	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	0	8.019155744703474	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	1	5.959794545911899	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	2	6.010814758500392	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	3	6.135871835761672	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	4	6.27410236295789	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	5	6.416666577826197	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	AND	6	6.561071219224207	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	DNA	0	8.019155744703474	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	DNA	1	5.945482855471659	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	DNA	2	5.997362651598415	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
Czech	Heldout	DNA	3	6.121836529775773	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py
