Language	Estimator	Model	Distance	Surprisal	Script	Part
e	Heldout	NAD	0	-9.005620887866696	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	1	-7.078976542694814	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	2	-7.009500209902848	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	3	-7.035458304976645	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	4	-7.08163779464485	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	5	-7.134588090058627	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	6	-7.190372570168643	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	det
e	Heldout	NAD	0	-10.419032305190985	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	NAD	1	-8.253473619944781	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	NAD	2	-8.277864193532075	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	NAD	3	-8.410415721924767	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	NAD	4	-8.568100568763562	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	NAD	5	-8.7344156794325	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	NAD	6	-8.904286513738148	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	nummod
e	Heldout	DAN	0	-2.6416252183116504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	1	-0.37651968854728496	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	2	-0.3627581457645796	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	3	-0.36065369530435504	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	4	-0.3599941625037057	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	5	-0.35978325176832787	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	6	-0.359744598039961	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	EOS
e	Heldout	DAN	0	-11.677978303784094	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	1	-9.500351647101345	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	2	-9.501602941156358	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	3	-9.637256102888006	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	4	-9.80044346923743	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	5	-9.973801791859808	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	6	-10.151703022965735	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	NOUN
e	Heldout	DAN	0	-12.029963095413597	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	DAN	1	-11.023684428720774	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	DAN	2	-11.416324845309326	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	DAN	3	-11.869649784729031	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	DAN	4	-12.333992302818514	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	DAN	5	-12.801658964368768	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
e	Heldout	DAN	6	-13.270654103352069	yWithMorphologySequentialStreamDropoutDev_Ngrams_Log_Restrict_OnlyNPs.py	amod
