999 50.40313500552588
50.40248831501561 50.40277904781087 50.40277904781087 50.40313309988093 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588 50.40313500552588
Namespace(alpha=1.0, cutoff=4, delta=1.0, gamma=1, idForProcess=8873292, language='Sesotho_Acqdiv', model=None)
6 0
av 2
sr 4
2s 6
9 8
if 10
1 12
2 14
lc 16
ps 18
st 20
di 22
lo 24
cp 26
17 28
5 30
ht 32
8 34
sm 36
m^ 38
ei 40
cj 42
wa 44
1s 46
3 48
ij 50
f^ 52
t^ 54
rf 56
9a 58
ng 60
om 62
wo 64
pr 66
2a 68
10 70
pn 72
wh 74
7 76
14 78
rl 80
