999 43.66579267890673
43.55292041648094 43.59017085910756 43.64443919652589 43.66574203554885 43.66574203554885 43.66574203554885 43.66574203554885 43.66574203554885 43.66574203554885 43.66574203554885 43.665750433481136 43.66579267890673 43.66579267890673 43.66579267890673 43.66579267890673 43.66579267890673 43.66579267890673 43.66579267890673 43.66579267890673 43.66579267890673
Namespace(alpha=1.0, cutoff=7, delta=1.0, gamma=1, idForProcess=2216615, language='Sesotho_Acqdiv', model=None)
cl 0
ps 2
c/ 4
mi 6
c 8
lc 10
ap 12
rv 14
t^ 16
m. 18
p 20
rc 22
nt 24
cp 26
m^ 28
rl 30
wh 32
p/ 34
