9	0	19
av	2	11
2a	4	18
sr	6	738
7	8	5
10	10	16
wa	12	1
sm	14	34425
cp	16	36
17	18	32
2	20	10
ng	22	477
f^	24	1
ht	26	3
3	28	2
8	30	1
cj	32	1
lo	34	5
1s	36	3
5	38	11
t^	40	14565
rl	42	102
if	44	1018
wo	46	16
rf	48	777
pr	50	3
lc	52	2
m^	54	3
ps	56	1
di	58	8
ij	60	4
2s	62	1
6	64	7
wh	66	110
om	68	9763
st	70	1
9a	72	1
ei	74	1
pn	76	1
1	78	3
14	80	1
