Language	BranchingEntropy
Arabic	0.227715603483
Catalan	0.283056152942
Czech	0.378133737019
Dutch	0.344309054638
Finnish	0.43102002983
French	0.215699411027
German	0.33128321822
Hindi	0.156351111248
Norwegian	0.25721400987
Spanish	0.278217001953
Basque	0.444357245892
Bulgarian	0.310645371492
Croatian	0.313131118896
Estonian	0.492960007457
Hebrew	0.196049438282
Japanese	0.0534228809786
Polish	0.448697205432
Romanian	0.313889302902
Slovak	0.428585925693
Slovenian	0.344055244862
Swedish	0.288163577137
Afrikaans	0.301731731544
Chinese	0.303171967888
Danish	0.315523285221
Greek	0.281028296395
Hungarian	0.343177823443
North_Sami	0.374879592856
Persian	0.238541599174
Serbian	0.273416042017
Turkish	0.301596604465
Ukrainian	0.343748107693
Vietnamese	0.363678863009
Amharic-Adap	0.387940824027
Armenian-Adap	0.389221902878
Breton-Adap	0.329369783853
Buryat-Adap	0.207994034558
Cantonese-Adap	0.281039583411
Faroese-Adap	0.263524953784
Kazakh-Adap	0.182937219552
Kurmanji-Adap	0.402280055314
Naija-Adap	0.327601775906
Thai-Adap	0.195747354018
Uyghur-Adap	0.103030216721
Bambara-Adap	0.136711085475
Erzya-Adap	0.477143315382
Maltese	0.240386089235
Latvian	0.392288677191
Indonesian	0.270666583007
Urdu	0.175040013488
Portuguese	0.261449503911
English	0.27244106279
Italian	0.243580229217
Russian	0.307108498891
