Language	BranchingEntropy
Arabic	0.178118997927
Catalan	0.206772359704
Czech	0.327625930692
Dutch	0.28005448027
Finnish	0.357221393564
French	0.18639301358
German	0.280042985771
Hindi	0.0586572006915
Norwegian	0.220331796299
Spanish	0.228102519913
Basque	0.396567985396
Bulgarian	0.253592704431
Croatian	0.270608912203
Estonian	0.434831737479
Hebrew	0.172801791016
Japanese	0.0239524961414
Polish	0.374569953092
Romanian	0.266660482177
Slovak	0.372258453475
Slovenian	0.30941350396
Swedish	0.228912925096
Afrikaans	0.194965386756
Chinese	0.14397146686
Danish	0.250057057936
Greek	0.219338661171
Hungarian	0.290067123046
North_Sami	0.314739118569
Persian	0.141748902705
Serbian	0.244314984981
Turkish	0.246457716215
Ukrainian	0.313156834271
Vietnamese	0.32001192844
Amharic-Adap	0.246939387538
Armenian-Adap	0.337233150479
Breton-Adap	0.279294453329
Buryat-Adap	0.168574399708
Cantonese-Adap	0.171028167323
Faroese-Adap	0.210837729276
Kazakh-Adap	0.147062120366
Kurmanji-Adap	0.262433367079
Naija-Adap	0.238865267234
Thai-Adap	0.149485109033
Uyghur-Adap	0.0866197596509
Bambara-Adap	0.110442331589
Erzya-Adap	0.429374407023
Maltese	0.184727167487
Latvian	0.347476381103
Indonesian	0.236873723825
Urdu	0.0853431300795
Portuguese	0.2225945017
English	0.190531213198
Italian	0.21648528806
Russian	0.25221694339
