Model	Language	Command	Loss	Accuracy	AccuracyLabeled	Duration
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 7738450 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_7738450_RANDOM_MODEL.txt	0.735322061778	0.840447683498	0.800624674649	7
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 5989850 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_5989850_RANDOM_MODEL.txt	0.70849586681	0.847475273295	0.812805830297	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9057969 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9057969_RANDOM_MODEL.txt	0.715650223153	0.851535658511	0.81233732431	10
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 3237293 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_3237293_RANDOM_MODEL.txt	0.725587775313	0.84128058303	0.810671525247	10
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 533210 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_533210_RANDOM_MODEL.txt	0.751001625992	0.842790213431	0.801093180635	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9942743 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9942743_RANDOM_MODEL.txt	0.737861215533	0.844143675169	0.802498698594	10
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9309086 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9309086_RANDOM_MODEL.txt	0.746309998272	0.832483081728	0.798438313378	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 3237293 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_3237293_RANDOM_MODEL.txt	0.729459931483	0.838833940656	0.805674128058	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 5989850 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_5989850_RANDOM_MODEL.txt	0.714126764921	0.846277980219	0.810567412806	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 5141141 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_5141141_RANDOM_MODEL.txt	0.709084620713	0.839250390422	0.812597605414	8
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 8785918 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_8785918_RANDOM_MODEL.txt	0.739988958404	0.840760020822	0.807131702238	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9810150 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9810150_RANDOM_MODEL.txt	0.745225539942	0.836699635606	0.802706923477	8
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9396565 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9396565_RANDOM_MODEL.txt	0.760258710242	0.831077563769	0.795575221239	7
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 1730818 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_1730818_RANDOM_MODEL.txt	0.71824890767	0.84419573139	0.807548152004	8
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9810150 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9810150_RANDOM_MODEL.txt	0.743755219012	0.839927121291	0.805361790734	8
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 9309086 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_9309086_RANDOM_MODEL.txt	0.76819247549	0.830713170224	0.794482040604	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 8006853 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_8006853_RANDOM_MODEL.txt	0.740968715518	0.840968245705	0.799479437793	9
RANDOM_MODEL	Finnish	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Finnish RANDOM_MODEL 0.001 0.9 0.999 0.3 50 15 2 50 3 True 500 0.2 300 200 300 NONE 3883618 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Finnish_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_Exponents.py_model_3883618_RANDOM_MODEL.txt	0.780256978346	0.826444560125	0.792451847996	6
