Model	Language	Command	Loss	Accuracy	AccuracyLabeled	Duration
REAL_REAL	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology.py Chinese REAL_REAL 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200	1.42875142895	0.687276578843	0.627565205878	7
REAL_REAL	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology.py Chinese REAL_REAL 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200	1.42378479702	0.694426055872	0.633787898848	8
REAL_REAL	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology.py Chinese REAL_REAL 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200	1.44594751149	0.688732953793	0.628889183106	8
REAL_REAL	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology.py Chinese REAL_REAL 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200	1.42620568974	0.691248510526	0.631801933007	8
REAL_REAL	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology.py Chinese REAL_REAL 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200	1.45225386327	0.68092148815	0.619753740236	6
RANDOM_BY_TYPE	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Chinese RANDOM_BY_TYPE 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200 NONE 3023591 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Chinese_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_3023591_RANDOM_BY_TYPE.txt	1.42260691745	0.681053885873	0.607308354296	8
RANDOM_BY_TYPE	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Chinese RANDOM_BY_TYPE 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200 NONE 956818 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Chinese_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_956818_RANDOM_BY_TYPE.txt	1.54010689446	0.637627432808	0.580299218853	8
RANDOM_BY_TYPE	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Chinese RANDOM_BY_TYPE 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200 NONE 8820921 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Chinese_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_8820921_RANDOM_BY_TYPE.txt	1.50268397346	0.636568251026	0.596054547862	6
RANDOM_BY_TYPE	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Chinese RANDOM_BY_TYPE 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200 NONE 8485537 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Chinese_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_8485537_RANDOM_BY_TYPE.txt	1.39700802061	0.676287567854	0.622931285582	9
RANDOM_BY_TYPE	Chinese	readDataDistEnglishGPUFreeParsingUnbiasedEntropy_Fixed_REAL_Fast_Broad_Config_Dev_Labeled_MLP_Batch_ContentOnly_Controlled_Morphology_ForModel.py Chinese RANDOM_BY_TYPE 0.0005 0.9 0.999 0.1 50 15 2 50 3 True 100 0.1 100 300 200 NONE 4658665 /afs/cs.stanford.edu/u/mhahn/scr/deps/memory-need-neural-morph//model-Chinese_yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS.py_model_4658665_RANDOM_BY_TYPE.txt	1.5530951668	0.653647557262	0.561101549053	7
