Model	Language	Code	Type	Distance	ConditionalMI	TotalMI
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	1	0.747802003398	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	2	0.324554366425	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	3	0.285878512506	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	4	0.281205037642	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	5	0.228787800926	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	6	0.180702368912	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	7	0.163668856028	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	8	0.119206713519	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	9	0.0890010898684	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	10	0.0715399945037	1.21951868801
yWithMorphologySequentialStreamDropoutDev_BaselineLanguage_Fast_SaveLast_NoFinePOS_OnlyMorph_Adap.py	Afrikaans	Afrikaans	REAL_REAL	11	0.0523313322645	1.21951868801
